skill,freq,mean_confidence,best_domain_id,best_future_domain,trend_label,trend_score,similarity,top1_similarity,top2_similarity,top3_similarity,mapping_margin,top2_domain_id,top3_domain_id,domain_source,future_weight
integrate AI to improve engineering craft,1,0.685,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.53912073,0.53912073,0.4570893,0.33727255,0.08203143,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5121646970510483
lead development of AI experiences,1,0.946,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5387689,0.5387689,0.41865242,0.3183652,0.12011647,WEF01,MCK03,WEF_FutureOfJobs_2025,0.5118304431438446
conduct AI research,1,0.991,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.53541505,0.53541505,0.4645812,0.25261745,0.07083386,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5086443006992339
architecting AI /,1,0.503,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5333524,0.5333524,0.4999908,0.32244757,0.033361584,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5066847562789917
operate cloud environments,1,0.598,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5948992,0.5948992,0.3348575,0.2557565,0.26004168,ONET02,ONET06,WEF_FutureOfJobs_2025,0.5056643009185791
plan enterprise AI software solutions,1,0.839,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.53214437,0.53214437,0.48887607,0.302239,0.043268293,WEF01,MCK01,WEF_FutureOfJobs_2025,0.505537149310112
operate AI/ML models and pipelines,1,0.625,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5041322,0.5041322,0.3768105,0.37353373,0.12732172,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5041322112083435
manage cloud infrastructure,1,0.573,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5920632,0.5920632,0.3282907,0.25480476,0.2637725,ONET02,ONET06,WEF_FutureOfJobs_2025,0.5032537102699279
apply machine learning technologies,1,0.598,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5007392,0.5007392,0.30543983,0.28583786,0.19529939,ESCO02,WEF05,WEF_FutureOfJobs_2025,0.5007392168045044
research Responsible AI Management Systems,1,0.571,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.52512443,0.52512443,0.4170143,0.30713236,0.10811013,WEF01,MCK01,WEF_FutureOfJobs_2025,0.4988682091236114
build cloud environments,1,0.675,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5815489,0.5815489,0.283261,0.26898998,0.29828793,ONET04,ONET02,WEF_FutureOfJobs_2025,0.4943165898323059
develop Responsible AI Management Systems,1,0.646,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5190821,0.5190821,0.40539658,0.3129391,0.11368555,WEF01,MCK01,WEF_FutureOfJobs_2025,0.49312802255153654
work with AI researchers,1,0.63,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.51827574,0.51827574,0.46652934,0.22557458,0.0517464,WEF01,MCK02,WEF_FutureOfJobs_2025,0.4923619508743286
implement AI agents,1,0.668,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5172816,0.5172816,0.4965533,0.28409034,0.02072829,WEF01,MCK01,WEF_FutureOfJobs_2025,0.4914175122976303
architect AI/GEN AI solutions,1,0.719,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5164264,0.5164264,0.44114068,0.26032987,0.0752857,WEF01,MCK01,WEF_FutureOfJobs_2025,0.49060506522655484
deliver enterprise AI software solutions,1,1.0,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5113222,0.5113222,0.42247137,0.29279086,0.088850826,WEF01,MCK01,WEF_FutureOfJobs_2025,0.48575609028339384
design AI solutions,1,0.718,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.50906706,0.50906706,0.4421098,0.26945361,0.066957265,WEF01,MCK01,WEF_FutureOfJobs_2025,0.4836137056350708
develop AI-powered applications,1,0.694,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5088629,0.5088629,0.49705184,0.3523806,0.011811078,WEF01,MCK01,WEF_FutureOfJobs_2025,0.48341976702213285
enhance cybersecurity awareness,1,0.96,WEF03,Cybersecurity,Strong_Growth,0.9,0.53615654,0.53615654,0.26212758,0.24731384,0.27402896,WEF07,WEF08,WEF_FutureOfJobs_2025,0.4825408816337586
manage cloud environments,1,0.706,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.56132066,0.56132066,0.34626493,0.20404035,0.21505573,ONET02,ESCO01,WEF_FutureOfJobs_2025,0.477122563123703
leverage AI tools,1,0.621,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.49978897,0.49978897,0.46143118,0.26862168,0.038357794,WEF01,MCK01,WEF_FutureOfJobs_2025,0.4747995212674141
critical -thinking abilities.,1,0.422,MCK04,Critical Thinking & Problem Solving,Strong_Growth,0.8,0.5918215,0.5918215,0.30082583,0.22509952,0.29099566,MCK05,MCK02,McKinsey_FutureOfWork_2025,0.4734571933746338
implement scalable AI / ML models for classification,1,0.507,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.47345644,0.47345644,0.32486412,0.22849445,0.14859232,WEF07,WEF02,WEF_FutureOfJobs_2025,0.4734564423561096
visualize AI/ML models and pipelines,1,0.626,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.46902263,0.46902263,0.37958133,0.31435105,0.0894413,WEF07,WEF02,WEF_FutureOfJobs_2025,0.46902263164520264
ensure seamless delivery of AI solutions,1,0.735,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.49204707,0.49204707,0.38165274,0.24692857,0.11039433,WEF01,WEF04,WEF_FutureOfJobs_2025,0.4674447178840637
integrate machine learning frameworks into MLOps processes,1,0.676,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.4669376,0.4669376,0.39252296,0.34110284,0.07441464,WEF04,MCK01,WEF_FutureOfJobs_2025,0.4669376015663147
implement machine learning models,1,1.0,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.46457613,0.46457613,0.21802382,0.20847191,0.2465523,WEF07,DEC01,WEF_FutureOfJobs_2025,0.4645761251449585
use AI-based modelling,1,0.593,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.46386844,0.46386844,0.42600057,0.28169417,0.037867874,WEF07,MCK01,WEF_FutureOfJobs_2025,0.4638684391975403
architect AI features,1,0.707,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.48821235,0.48821235,0.45505396,0.30213398,0.03315839,WEF01,MCK01,WEF_FutureOfJobs_2025,0.46380172967910765
support cybersecurity operations,1,0.686,WEF03,Cybersecurity,Strong_Growth,0.9,0.5139277,0.5139277,0.33609387,0.3217811,0.17783383,ONET02,MCK01,WEF_FutureOfJobs_2025,0.4625349283218384
develop machine learning models,1,0.682,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.45998603,0.45998603,0.2671471,0.25975826,0.19283894,ESCO02,WEF07,WEF_FutureOfJobs_2025,0.45998603105545044
deploy AI-powered solutions,1,1.0,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.4839168,0.4839168,0.34459743,0.31588835,0.13931936,WEF01,WEF04,WEF_FutureOfJobs_2025,0.4597209498286247
deploy AI features,1,1.0,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.4838776,0.4838776,0.41516644,0.31401134,0.06871116,WEF01,DEC03,WEF_FutureOfJobs_2025,0.4596837192773819
use AI/ML across platforms,1,0.668,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.4584991,0.4584991,0.37617925,0.26303232,0.082319856,WEF07,WEF04,WEF_FutureOfJobs_2025,0.45849910378456116
apply cutting edge machine learning technologies in,1,0.486,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.4580695,0.4580695,0.28897175,0.28762567,0.16909775,WEF05,WEF02,WEF_FutureOfJobs_2025,0.45806950330734253
work with data scientists,1,0.631,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.508597,0.508597,0.39972174,0.39286917,0.108875275,ONET02,DEC01,WEF_FutureOfJobs_2025,0.4577373147010803
ensure seamless integration of AI solutions,1,0.671,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.48044255,0.48044255,0.39063573,0.24179149,0.089806825,WEF01,MCK01,WEF_FutureOfJobs_2025,0.4564204260706901
resilient,1,0.559,MCK05,Resilience & Adaptability,Strong_Growth,0.75,0.60711104,0.60711104,0.20045432,0.19659694,0.4066567,DEC03,ONET02,WEF_FutureOfJobs_2025,0.45533327758312225
integrate AI to accelerate engineering craft,1,0.687,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.47869164,0.47869164,0.44172838,0.33442655,0.036963254,WEF01,MCK01,WEF_FutureOfJobs_2025,0.4547570556402206
measure the effectiveness of cybersecurity programs,1,0.68,WEF03,Cybersecurity,Strong_Growth,0.9,0.50456583,0.50456583,0.19160992,0.1877619,0.31295592,ONET02,WEF07,WEF_FutureOfJobs_2025,0.454109251499176
harness AI techniques,1,0.787,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.47746426,0.47746426,0.44460437,0.26642132,0.03285989,WEF01,MCK01,WEF_FutureOfJobs_2025,0.4535910457372665
Using AI,1,0.483,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.4771808,0.4771808,0.47077402,0.25091636,0.006406784,WEF01,MCK01,WEF_FutureOfJobs_2025,0.4533217683434486
develop analytics programs,1,0.707,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.5034637,0.5034637,0.41234392,0.3808726,0.091119766,ESCO02,ONET02,WEF_FutureOfJobs_2025,0.4531173169612885
implement cybersecurity,1,0.716,WEF03,Cybersecurity,Strong_Growth,0.9,0.5002716,0.5002716,0.3060221,0.24795303,0.19424951,ONET06,WEF07,WEF_FutureOfJobs_2025,0.4502444565296173
analytics professionals,1,0.526,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.4989685,0.4989685,0.403778,0.3789238,0.095190525,ONET02,ESCO02,WEF_FutureOfJobs_2025,0.44907166063785553
manage cloud,1,0.638,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5280705,0.5280705,0.30371076,0.19450511,0.22435975,ONET02,WEF02,WEF_FutureOfJobs_2025,0.4488599330186844
perform data analytics,1,0.702,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.49719733,0.49719733,0.37628278,0.30096766,0.12091455,ONET02,DEC01,WEF_FutureOfJobs_2025,0.4474775969982147
utilise agentic AI,1,0.62,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.4657188,0.4657188,0.42625377,0.31445056,0.03946504,WEF01,MCK01,WEF_FutureOfJobs_2025,0.44243286550045013
monitor AI/ML models and pipelines,1,0.625,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.44192484,0.44192484,0.33178502,0.31466323,0.11013982,WEF07,WEF02,WEF_FutureOfJobs_2025,0.4419248402118683
support cloud services,1,0.745,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.51870275,0.51870275,0.2848643,0.2799391,0.23383844,ONET02,ONET06,WEF_FutureOfJobs_2025,0.44089733362197875
design with AI,1,0.661,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.46398348,0.46398348,0.4312972,0.2468707,0.032686263,WEF01,MCK01,WEF_FutureOfJobs_2025,0.4407843023538589
migrate to cloud,1,1.0,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.51830286,0.51830286,0.2167416,0.17864919,0.30156124,ONET02,WEF05,WEF_FutureOfJobs_2025,0.44055742919445035
designing practical AI solutions,1,0.554,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.4631074,0.4631074,0.43717346,0.22726043,0.025933951,WEF01,MCK01,WEF_FutureOfJobs_2025,0.43995203673839567
design AI-powered solutions,1,0.806,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.4626667,0.4626667,0.39332396,0.25877514,0.06934273,WEF01,MCK01,WEF_FutureOfJobs_2025,0.4395333558320999
prototype machine learning models,1,1.0,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.4389914,0.4389914,0.22098343,0.21383058,0.21800797,WEF07,MCK01,WEF_FutureOfJobs_2025,0.43899139761924744
build proprietary AI products,1,0.864,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.4608973,0.4608973,0.40336272,0.28892344,0.057534575,WEF01,MCK01,WEF_FutureOfJobs_2025,0.437852431833744
contribute to AI thought leadership,1,0.816,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.45770398,0.45770398,0.3459719,0.31631917,0.111732066,WEF01,MCK03,WEF_FutureOfJobs_2025,0.43481877893209453
build cybersecurity solutions,1,0.682,WEF03,Cybersecurity,Strong_Growth,0.9,0.48242345,0.48242345,0.30261943,0.26442686,0.17980403,WEF07,ONET06,WEF_FutureOfJobs_2025,0.4341811090707779
implement monitoring for AI/ML systems,1,0.657,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.42833626,0.42833626,0.33813816,0.252067,0.0901981,WEF07,WEF02,WEF_FutureOfJobs_2025,0.4283362627029419
design cloud environments,1,0.677,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.49822482,0.49822482,0.35240245,0.34602046,0.14582238,ONET03,DEC02,WEF_FutureOfJobs_2025,0.4234911009669304
implement generative AI capabilities,1,0.73,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.42265597,0.42265597,0.39937577,0.2035374,0.023280203,WEF07,MCK02,WEF_FutureOfJobs_2025,0.42265596985816956
deploy cloud services continuously,1,0.677,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.49630192,0.49630192,0.17088091,0.17076668,0.325421,ONET02,DEC03,WEF_FutureOfJobs_2025,0.42185663133859636
push boundaries of artificial intelligence,1,0.571,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.4210362,0.4210362,0.39130425,0.18493196,0.02973196,WEF07,MCK01,WEF_FutureOfJobs_2025,0.4210362136363983
supporting cloud (Azure),1,0.548,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.4940997,0.4940997,0.18019342,0.16945107,0.31390628,WEF05,ONET02,WEF_FutureOfJobs_2025,0.41998475044965744
present vision for implementing AI-driven automation,1,0.613,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.4401121,0.4401121,0.42109257,0.4137494,0.019019544,MCK01,WEF01,WEF_FutureOfJobs_2025,0.41810650825500484
use Azure DevOps,1,0.693,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.49132118,0.49132118,0.25593513,0.21900569,0.23538604,ONET01,ONET05,WEF_FutureOfJobs_2025,0.41762299984693524
use data analytics tools,1,0.739,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.45967925,0.45967925,0.36906093,0.28460482,0.09061831,ONET02,ESCO02,WEF_FutureOfJobs_2025,0.41371132135391236
leverage Azure DevOps pipelines,1,0.986,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.4850555,0.4850555,0.24447219,0.23317774,0.24058332,ONET01,MCK01,WEF_FutureOfJobs_2025,0.4122971802949905
maintain cybersecurity risk register,1,1.0,WEF03,Cybersecurity,Strong_Growth,0.9,0.45745328,0.45745328,0.19106089,0.1562034,0.2663924,DEC03,DEC01,WEF_FutureOfJobs_2025,0.41170795261859894
develop on Cloud platforms,1,0.698,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.48406976,0.48406976,0.32894894,0.28148136,0.15512082,WEF05,ONET01,WEF_FutureOfJobs_2025,0.41145929992198943
secure cloud environments,1,0.571,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.4830274,0.4830274,0.2946948,0.28585565,0.18833259,WEF03,ONET02,WEF_FutureOfJobs_2025,0.4105732887983322
maintain AI-powered applications,1,1.0,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.43128774,0.43128774,0.4025559,0.29772204,0.028731823,WEF01,MCK01,WEF_FutureOfJobs_2025,0.40972334891557693
problem -solving skills,1,0.48,MCK04,Critical Thinking & Problem Solving,Strong_Growth,0.8,0.50852627,0.50852627,0.32019123,0.30622476,0.18833503,WEF08,MCK02,McKinsey_FutureOfWork_2025,0.40682101249694824
create content using AI tools,1,0.665,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.4270993,0.4270993,0.38515282,0.28780094,0.04194647,WEF01,MCK01,WEF_FutureOfJobs_2025,0.40574432313442227
data engineering,1,0.489,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.44971013,0.44971013,0.3831587,0.35917562,0.06655142,ESCO02,ONET02,WEF_FutureOfJobs_2025,0.4047391176223755
innovate cybersecurity solutions,1,0.686,WEF03,Cybersecurity,Strong_Growth,0.9,0.44405997,0.44405997,0.28631026,0.24700753,0.15774971,WEF07,MCK02,WEF_FutureOfJobs_2025,0.39965397119522095
deploy machine learning models,2,0.61,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.39926058,0.39926058,0.27453467,0.23526958,0.12472591,WEF04,WEF07,WEF_FutureOfJobs_2025,0.39926058053970337
experiment with AI,2,0.6970000000000001,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.41970515,0.41970515,0.4127744,0.20052694,0.0069307387,WEF01,MCK01,WEF_FutureOfJobs_2025,0.39871989488601683
perform complex thinking,1,0.793,MCK04,Critical Thinking & Problem Solving,Strong_Growth,0.8,0.4983873,0.4983873,0.23782572,0.23013833,0.2605616,WEF07,MCK02,McKinsey_FutureOfWork_2025,0.3987098455429077
design AI-powered applications,1,0.692,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.41957748,0.41957748,0.39132455,0.3105139,0.02825293,WEF01,ONET03,WEF_FutureOfJobs_2025,0.39859860539436337
leverage Cloud middleware,1,0.596,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.46890607,0.46890607,0.27051005,0.2552285,0.19839603,ONET02,ONET06,WEF_FutureOfJobs_2025,0.3985701635479927
support development of analytics platforms,1,0.645,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.4422957,0.4422957,0.39115337,0.3199042,0.051142335,ONET02,WEF05,WEF_FutureOfJobs_2025,0.3980661302804947
push boundaries of AI,1,0.627,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.41853654,0.41853654,0.41317642,0.17000772,0.0053601265,WEF01,MCK01,WEF_FutureOfJobs_2025,0.39760971665382383
leveraging AI tools,1,0.503,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.39663348,0.39663348,0.38661164,0.1766078,0.010021836,WEF07,DEC03,WEF_FutureOfJobs_2025,0.39663347601890564
problem -solving mindset,1,0.424,MCK04,Critical Thinking & Problem Solving,Strong_Growth,0.8,0.49467403,0.49467403,0.2702545,0.21657297,0.22441953,WEF07,MCK05,McKinsey_FutureOfWork_2025,0.395739221572876
perform on-prem to cloud migrations,1,0.752,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.46554166,0.46554166,0.23431785,0.20423822,0.2312238,ONET02,WEF05,WEF_FutureOfJobs_2025,0.3957104116678238
maintain machine learning models,1,0.603,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.3950877,0.3950877,0.29083818,0.21276112,0.10424951,DEC03,ONET02,WEF_FutureOfJobs_2025,0.39508768916130066
push boundaries with AI,1,0.629,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.41528258,0.41528258,0.3974493,0.17086916,0.017833263,WEF01,MCK01,WEF_FutureOfJobs_2025,0.39451844841241834
turn analytics into growth engine,1,0.571,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.43834242,0.43834242,0.2932809,0.22820272,0.14506152,ONET02,WEF01,WEF_FutureOfJobs_2025,0.3945081800222397
collaborate with data scientists,1,0.664,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.43815598,0.43815598,0.35172936,0.34230742,0.086426616,WEF07,ONET02,WEF_FutureOfJobs_2025,0.394340381026268
analyze information security events,1,0.707,WEF03,Cybersecurity,Strong_Growth,0.9,0.43774843,0.43774843,0.2709118,0.23855934,0.16683662,ESCO02,ONET02,WEF_FutureOfJobs_2025,0.39397358894348145
Leverage AI:,1,0.478,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.41431266,0.41431266,0.3503469,0.21016379,0.06396577,WEF01,MCK05,WEF_FutureOfJobs_2025,0.3935970276594162
collaborate on automation control system design,1,0.908,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.41411412,0.41411412,0.38921773,0.30681062,0.024896383,MCK01,MCK02,WEF_FutureOfJobs_2025,0.3934084117412567
manage cloud database platforms,1,0.712,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.46237397,0.46237397,0.42038512,0.25679603,0.04198885,ONET02,WEF05,WEF_FutureOfJobs_2025,0.39301787614822387
utilise generative AI,1,0.624,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.39297283,0.39297283,0.35527706,0.18194418,0.037695765,WEF07,MCK01,WEF_FutureOfJobs_2025,0.39297282695770264
solve problems creatively,1,0.668,MCK04,Critical Thinking & Problem Solving,Strong_Growth,0.8,0.4907131,0.4907131,0.30292594,0.23061956,0.18778715,DEC03,WEF07,McKinsey_FutureOfWork_2025,0.3925704717636109
push boundaries of data science,1,0.563,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.43618116,0.43618116,0.33232903,0.28404492,0.10385212,ONET02,WEF01,WEF_FutureOfJobs_2025,0.3925630420446396
implement cloud database platforms,1,0.747,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.46114165,0.46114165,0.3971769,0.29202506,0.063964754,ONET02,WEF05,WEF_FutureOfJobs_2025,0.39197039902210234
recommend security initiatives,1,0.715,WEF03,Cybersecurity,Strong_Growth,0.9,0.43410864,0.43410864,0.226943,0.21659404,0.20716564,WEF07,ONET02,WEF_FutureOfJobs_2025,0.390697780251503
evaluate effects on security protection landscape,1,0.746,WEF03,Cybersecurity,Strong_Growth,0.9,0.43387485,0.43387485,0.24929923,0.21408004,0.18457562,MCK05,ONET02,WEF_FutureOfJobs_2025,0.39048736095428466
hands -on implementation of comprehensive data analytics,1,0.547,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.43331265,0.43331265,0.3293115,0.2795843,0.104001164,ONET02,DEC01,WEF_FutureOfJobs_2025,0.38998138904571533
computer skills,1,0.429,WEF08,Technological Literacy & Digital Fluency,Strong_Growth,0.85,0.45873836,0.45873836,0.3506664,0.33908024,0.10807195,ONET03,DEC01,WEF_FutureOfJobs_2025,0.38992760330438614
develop ML compilers,1,0.67,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.3869493,0.3869493,0.2875891,0.26705986,0.0993602,ONET01,ESCO02,WEF_FutureOfJobs_2025,0.3869493007659912
ensure risk management processes align with cyber security strategy,1,0.628,WEF03,Cybersecurity,Strong_Growth,0.9,0.42735526,0.42735526,0.23203231,0.2100531,0.19532295,ESCO01,MCK04,WEF_FutureOfJobs_2025,0.38461973369121555
provide problem-solving methodologies,1,0.839,MCK04,Critical Thinking & Problem Solving,Strong_Growth,0.8,0.48072645,0.48072645,0.3952852,0.37294114,0.08544126,ESCO01,ESCO02,McKinsey_FutureOfWork_2025,0.38458116054534913
manage Kubernetes in production environments,1,1.0,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.4522583,0.4522583,0.2632004,0.15862541,0.18905789,ONET02,WEF06,WEF_FutureOfJobs_2025,0.3844195455312729
manage machine learning models,1,0.928,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.3832678,0.3832678,0.26837263,0.22638217,0.114895165,ONET02,WEF07,WEF_FutureOfJobs_2025,0.3832677900791168
collaborate with experts,1,0.671,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.40204236,0.40204236,0.36626786,0.23497845,0.0357745,MCK02,WEF01,WEF_FutureOfJobs_2025,0.38194024115800856
develop intelligent integrations,1,0.695,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.40203047,0.40203047,0.37475714,0.341292,0.027273327,WEF01,MCK01,WEF_FutureOfJobs_2025,0.3819289445877075
deploy AI-powered applications,1,0.692,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.40157133,0.40157133,0.32733488,0.31602892,0.07423645,WEF01,WEF04,WEF_FutureOfJobs_2025,0.3814927667379379
prompt AI to generate product videos,1,0.816,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.40143037,0.40143037,0.31224373,0.2374219,0.08918664,WEF01,ONET04,WEF_FutureOfJobs_2025,0.3813588500022888
design machine learning models,2,0.8025,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.37970963,0.37970963,0.2810413,0.2808813,0.09866834,ONET03,ESCO02,WEF_FutureOfJobs_2025,0.3797096312046051
manage security trends,1,1.0,WEF03,Cybersecurity,Strong_Growth,0.9,0.42092326,0.42092326,0.3406497,0.27734813,0.08027357,ONET02,DEC03,WEF_FutureOfJobs_2025,0.37883093655109407
stay current with Gen AI technologies,1,0.614,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.39857766,0.39857766,0.39155713,0.1990497,0.007020533,WEF01,MCK01,WEF_FutureOfJobs_2025,0.3786487773060798
participate in the review of critical system problems,1,0.885,MCK04,Critical Thinking & Problem Solving,Strong_Growth,0.8,0.47301838,0.47301838,0.17968744,0.16774444,0.29333094,ONET02,ONET06,McKinsey_FutureOfWork_2025,0.3784147024154663
perform functional testing of AI models,1,0.795,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.37736148,0.37736148,0.34809703,0.2724134,0.02926445,WEF07,ONET05,WEF_FutureOfJobs_2025,0.3773614764213562
