job_id,date_posted,knowledge,confidence_score,confidence_tier,source
in-15e1d951cdf21d76,11/21/2025,"frequency,",0.373,Very Low,BERT (standalone)
in-15e1d951cdf21d76,11/21/2025,"retention,",0.312,Very Low,BERT (standalone)
in-15e1d951cdf21d76,11/21/2025,recovery windows.,0.414,Low,BERT (standalone)
in-15e1d951cdf21d76,11/21/2025,database technology,0.553,Medium Low,BERT (standalone)
in-15e1d951cdf21d76,11/21/2025,architectural guidance,0.542,Medium Low,BERT (standalone)
in-15e1d951cdf21d76,11/21/2025,"development,",0.465,Low,BERT (standalone)
in-15e1d951cdf21d76,11/21/2025,"test,",0.357,Very Low,BERT (standalone)
in-15e1d951cdf21d76,11/21/2025,production database environments.,0.327,Very Low,BERT (standalone)
in-15e1d951cdf21d76,11/21/2025,criminal,0.546,Medium Low,BERT (standalone)
in-15e1d951cdf21d76,11/21/2025,history records,0.479,Low,BERT (standalone)
in-15e1d951cdf21d76,11/21/2025,driving,0.353,Very Low,BERT (standalone)
in-8585f0138efe6be9,11/28/2025,chiller,0.844,High,BERT+LLM
in-8585f0138efe6be9,11/28/2025,HVAC,0.852,High,BERT+LLM
in-8585f0138efe6be9,11/28/2025,chiller systems,0.847,High,BERT+LLM
in-8585f0138efe6be9,11/28/2025,chiller related remedial work,0.79,Medium High,BERT+LLM
in-8585f0138efe6be9,11/28/2025,chiller estimating,0.849,High,BERT+LLM
in-8585f0138efe6be9,11/28/2025,standard software packages,0.75,Medium High,LLM
in-51f87fa36bf9dcbe,12/1/2025,Project Controls,0.75,Medium High,LLM
in-51f87fa36bf9dcbe,12/1/2025,Cost Management,0.75,Medium High,LLM
in-51f87fa36bf9dcbe,12/1/2025,engineering,0.75,Medium High,LLM
in-51f87fa36bf9dcbe,12/1/2025,mining,0.75,Medium High,LLM
in-51f87fa36bf9dcbe,12/1/2025,energy,0.75,Medium High,LLM
in-51f87fa36bf9dcbe,12/1/2025,infrastructure,0.75,Medium High,LLM
in-51f87fa36bf9dcbe,12/1/2025,sustainable studies,0.75,Medium High,LLM
in-51f87fa36bf9dcbe,12/1/2025,asset building,0.75,Medium High,LLM
in-51f87fa36bf9dcbe,12/1/2025,operations,0.75,Medium High,LLM
in-51f87fa36bf9dcbe,12/1/2025,governance,0.75,Medium High,LLM
in-444b4b837844792e,11/7/2025,Human Capital Management System (HCMS),0.75,Medium High,LLM
in-444b4b837844792e,11/7/2025,Workday,0.75,Medium High,LLM
in-444b4b837844792e,11/7/2025,data mining,0.712,Medium High,BERT+LLM
in-444b4b837844792e,11/7/2025,accounting standards,0.75,Medium High,LLM
in-444b4b837844792e,11/7/2025,dashboards,0.75,Medium High,LLM
in-444b4b837844792e,11/7/2025,scorecards,0.75,Medium High,LLM
in-03fe406c2c72b8f5,11/20/2025,Business Management,0.75,Medium High,LLM
in-03fe406c2c72b8f5,11/20/2025,Strategy & Support,0.75,Medium High,LLM
in-03fe406c2c72b8f5,11/20/2025,Business Operations Management,0.75,Medium High,LLM
in-03fe406c2c72b8f5,11/20/2025,Financial & performance management,0.801,High,BERT+LLM
in-03fe406c2c72b8f5,11/20/2025,Portfolio & investment management,0.838,High,BERT+LLM
in-03fe406c2c72b8f5,11/20/2025,Resource management,0.813,High,BERT+LLM
in-03fe406c2c72b8f5,11/20/2025,Operational risk management,0.82,High,BERT+LLM
in-03fe406c2c72b8f5,11/20/2025,Employee communications,0.75,Medium High,LLM
in-03fe406c2c72b8f5,11/20/2025,Colleague engagement,0.75,Medium High,LLM
in-b1f401373e3be9da,11/21/2025,agile,0.75,Medium High,LLM
in-b1f401373e3be9da,11/21/2025,software engineering,0.75,Medium High,LLM
in-b1f401373e3be9da,11/21/2025,Investment Banking,0.75,Medium High,LLM
in-b1f401373e3be9da,11/21/2025,CIB,0.75,Medium High,LLM
in-ab68b156f4ab2698,11/21/2025,Data Analytics,0.841,High,BERT+LLM
in-ab68b156f4ab2698,11/21/2025,Information Technology,0.844,High,BERT+LLM
in-ab68b156f4ab2698,11/21/2025,Business Intelligence,0.845,High,BERT+LLM
in-ab68b156f4ab2698,11/21/2025,Computer Science,0.838,High,BERT+LLM
in-ab68b156f4ab2698,11/21/2025,College,0.839,High,BERT+LLM
in-ab68b156f4ab2698,11/21/2025,CEGEP,0.842,High,BERT+LLM
in-ab68b156f4ab2698,11/21/2025,Diploma,0.326,Very Low,BERT (standalone)
in-4be31e02d40d722c,11/28/2025,accounting,0.843,High,BERT+LLM
in-4be31e02d40d722c,11/28/2025,finance,0.841,High,BERT+LLM
in-4be31e02d40d722c,11/28/2025,analytics,0.842,High,BERT+LLM
in-4be31e02d40d722c,11/28/2025,continuous improvement,0.831,High,BERT+LLM
in-4be31e02d40d722c,11/28/2025,quantitative analysis,0.818,High,BERT+LLM
in-4be31e02d40d722c,11/28/2025,Excel,0.822,High,BERT+LLM
in-4be31e02d40d722c,11/28/2025,TM1,0.847,High,BERT+LLM
in-4be31e02d40d722c,11/28/2025,Power Bi,0.849,High,BERT+LLM
in-4be31e02d40d722c,11/28/2025,Tableau,0.847,High,BERT+LLM
in-4be31e02d40d722c,11/28/2025,Cognos,0.836,High,BERT+LLM
in-4be31e02d40d722c,11/28/2025,database and reporting tools,0.816,High,BERT+LLM
in-4be31e02d40d722c,11/28/2025,logistics,0.75,Medium High,LLM
in-4be31e02d40d722c,11/28/2025,trucking,0.75,Medium High,LLM
in-92f803b15454a7da,11/27/2025,PAS 9980,0.75,Medium High,LLM
in-92f803b15454a7da,11/27/2025,BS 9999,0.75,Medium High,LLM
in-92f803b15454a7da,11/27/2025,Boris,0.75,Medium High,LLM
in-92f803b15454a7da,11/27/2025,Letsbuild,0.75,Medium High,LLM
in-92f803b15454a7da,11/27/2025,fire compartmentation,0.75,Medium High,LLM
in-92f803b15454a7da,11/27/2025,fire safety,0.75,Medium High,LLM
in-92f803b15454a7da,11/27/2025,remedial works,0.75,Medium High,LLM
in-92f803b15454a7da,11/27/2025,quality control,0.75,Medium High,LLM
in-92f803b15454a7da,11/27/2025,health and safety legislation,0.75,Medium High,LLM
in-92f803b15454a7da,11/27/2025,project plan,0.75,Medium High,LLM
in-92f803b15454a7da,11/27/2025,final,0.477,Low,BERT (standalone)
in-86eb802832fe3a14,11/24/2025,Real Estate Strategy,0.75,Medium High,LLM
in-86eb802832fe3a14,11/24/2025,Analytics,0.804,High,BERT+LLM
in-86eb802832fe3a14,11/24/2025,Spatial Analysis,0.75,Medium High,LLM
in-86eb802832fe3a14,11/24/2025,Network Optimization,0.75,Medium High,LLM
in-86eb802832fe3a14,11/24/2025,GIS mapping,0.813,High,BERT+LLM
in-86eb802832fe3a14,11/24/2025,Data-driven insights,0.75,Medium High,LLM
in-86eb802832fe3a14,11/24/2025,Portfolio Management,0.75,Medium High,LLM
in-86eb802832fe3a14,11/24/2025,Healthcare,0.75,Medium High,LLM
in-86eb802832fe3a14,11/24/2025,Rehabilitation,0.75,Medium High,LLM
in-86eb802832fe3a14,11/24/2025,Home Care,0.75,Medium High,LLM
in-86eb802832fe3a14,11/24/2025,Equity and Inclusion,0.75,Medium High,LLM
in-86eb802832fe3a14,11/24/2025,spatial,0.321,Very Low,BERT (standalone)
in-79c605b5e1b3bd21,11/21/2025,SQL,0.756,Medium High,BERT+LLM
in-79c605b5e1b3bd21,11/21/2025,database administration,0.75,Medium High,LLM
in-79c605b5e1b3bd21,11/21/2025,SaaS,0.75,Medium High,LLM
in-07c3caf0e6bbdcf4,11/1/2025,Financial Planning & Analysis (FP&A),0.75,Medium High,LLM
in-07c3caf0e6bbdcf4,11/1/2025,budgeting,0.75,Medium High,LLM
in-07c3caf0e6bbdcf4,11/1/2025,forecasting,0.75,Medium High,LLM
in-07c3caf0e6bbdcf4,11/1/2025,driver-based financial models,0.75,Medium High,LLM
in-07c3caf0e6bbdcf4,11/1/2025,operational KPIs,0.75,Medium High,LLM
in-07c3caf0e6bbdcf4,11/1/2025,scenario analysis,0.75,Medium High,LLM
in-07c3caf0e6bbdcf4,11/1/2025,sensitivity modelling,0.75,Medium High,LLM
in-07c3caf0e6bbdcf4,11/1/2025,purchase order (PO) tracking,0.75,Medium High,LLM
in-07c3caf0e6bbdcf4,11/1/2025,variance analysis,0.75,Medium High,LLM
in-07c3caf0e6bbdcf4,11/1/2025,logistics,0.844,High,BERT+LLM
in-07c3caf0e6bbdcf4,11/1/2025,fulfillment,0.834,High,BERT+LLM
in-07c3caf0e6bbdcf4,11/1/2025,white glove delivery,0.822,High,BERT+LLM
in-07c3caf0e6bbdcf4,11/1/2025,service costs,0.832,High,BERT+LLM
in-07c3caf0e6bbdcf4,11/1/2025,freight rates,0.726,Medium High,BERT+LLM
in-07c3caf0e6bbdcf4,11/1/2025,returns,0.75,Medium High,LLM
in-07c3caf0e6bbdcf4,11/1/2025,installation costs,0.75,Medium High,LLM
in-07c3caf0e6bbdcf4,11/1/2025,Supply Chain,0.75,Medium High,LLM
in-07c3caf0e6bbdcf4,11/1/2025,Operations,0.75,Medium High,LLM
in-07c3caf0e6bbdcf4,11/1/2025,office politics.,0.363,Very Low,BERT (standalone)
in-07c3caf0e6bbdcf4,11/1/2025,installation costs),0.507,Medium Low,BERT (standalone)
in-4ebd0b1d23e3cc56,11/13/2025,full absorption cost methodology,0.696,Medium,BERT+LLM
in-4ebd0b1d23e3cc56,11/13/2025,Finance,0.849,High,BERT+LLM
in-4ebd0b1d23e3cc56,11/13/2025,Accounting,0.761,Medium High,BERT+LLM
in-4ebd0b1d23e3cc56,11/13/2025,cost accounting,0.85,High,BERT+LLM
in-4ebd0b1d23e3cc56,11/13/2025,accounting software,0.826,High,BERT+LLM
in-4ebd0b1d23e3cc56,11/13/2025,Microsoft Navision,0.813,High,BERT+LLM
in-4ebd0b1d23e3cc56,11/13/2025,Excel,0.845,High,BERT+LLM
in-4ebd0b1d23e3cc56,11/13/2025,lookups,0.844,High,BERT+LLM
in-4ebd0b1d23e3cc56,11/13/2025,pivot tables,0.846,High,BERT+LLM
in-4ebd0b1d23e3cc56,11/13/2025,Manufacturing industry,0.759,Medium High,BERT+LLM
in-4ebd0b1d23e3cc56,11/13/2025,business intelligence programs,0.842,High,BERT+LLM
in-4ebd0b1d23e3cc56,11/13/2025,Power BI,0.842,High,BERT+LLM
in-4ebd0b1d23e3cc56,11/13/2025,IFRS,0.852,High,BERT+LLM
in-4ebd0b1d23e3cc56,11/13/2025,ground control solutions,0.75,Medium High,LLM
in-4ebd0b1d23e3cc56,11/13/2025,galvanising,0.75,Medium High,LLM
in-4ebd0b1d23e3cc56,11/13/2025,Excel functions.,0.497,Low,BERT (standalone)
in-4ebd0b1d23e3cc56,11/13/2025,Microsoft,0.554,Medium Low,BERT (standalone)
in-4ebd0b1d23e3cc56,11/13/2025,numbers,0.36,Very Low,BERT (standalone)
in-155b952ab23eb556,11/24/2025,AutoCAD,0.848,High,BERT+LLM
in-155b952ab23eb556,11/24/2025,Microsoft Office Suite,0.815,High,BERT+LLM
in-155b952ab23eb556,11/24/2025,Excel,0.75,Medium High,LLM
in-155b952ab23eb556,11/24/2025,Word,0.831,High,BERT+LLM
in-155b952ab23eb556,11/24/2025,Outlook,0.75,Medium High,LLM
in-155b952ab23eb556,11/24/2025,BIM,0.74,Medium High,BERT+LLM
in-155b952ab23eb556,11/24/2025,Revit,0.843,High,BERT+LLM
in-155b952ab23eb556,11/24/2025,Navisworks,0.848,High,BERT+LLM
in-155b952ab23eb556,11/24/2025,AVIXA CTS-D,0.75,Medium High,LLM
in-155b952ab23eb556,11/24/2025,CTS,0.75,Medium High,LLM
in-155b952ab23eb556,11/24/2025,signal flow diagrams,0.783,Medium High,BERT+LLM
in-155b952ab23eb556,11/24/2025,floor plans,0.835,High,BERT+LLM
in-155b952ab23eb556,11/24/2025,reflected ceiling plans,0.848,High,BERT+LLM
in-155b952ab23eb556,11/24/2025,rack elevations,0.836,High,BERT+LLM
in-155b952ab23eb556,11/24/2025,construction details,0.819,High,BERT+LLM
in-155b952ab23eb556,11/24/2025,audiovisual (AV) systems,0.75,Medium High,LLM
in-155b952ab23eb556,11/24/2025,detailed,0.423,Low,BERT (standalone)
in-155b952ab23eb556,11/24/2025,Outlook),0.518,Medium Low,BERT (standalone)
in-155b952ab23eb556,11/24/2025,Design),0.257,Very Low,BERT (standalone)
in-b87f0feebe2a2d13,11/24/2025,audio and video systems,0.75,Medium High,LLM
in-b87f0feebe2a2d13,11/24/2025,construction practices,0.848,High,BERT+LLM
in-b87f0feebe2a2d13,11/24/2025,tools,0.671,Medium,BERT+LLM
in-b87f0feebe2a2d13,11/24/2025,laptop,0.753,Medium High,BERT+LLM
in-b87f0feebe2a2d13,11/24/2025,gas card,0.75,Medium High,LLM
in-b87f0feebe2a2d13,11/24/2025,driver's license,0.75,Medium High,LLM
in-b87f0feebe2a2d13,11/24/2025,communication,0.416,Low,BERT (standalone)
in-b87f0feebe2a2d13,11/24/2025,Audio Video,0.344,Very Low,BERT (standalone)
in-b87f0feebe2a2d13,11/24/2025,audio,0.497,Low,BERT (standalone)
in-b87f0feebe2a2d13,11/24/2025,video,0.395,Very Low,BERT (standalone)
in-b87f0feebe2a2d13,11/24/2025,scissor lift,0.397,Very Low,BERT (standalone)
in-b87f0feebe2a2d13,11/24/2025,gas,0.501,Medium Low,BERT (standalone)
in-70f72ffd7de4d964,11/24/2025,warehouse operations,0.849,High,BERT+LLM
in-70f72ffd7de4d964,11/24/2025,financial analysis,0.75,Medium High,LLM
in-70f72ffd7de4d964,11/24/2025,operational analysis,0.75,Medium High,LLM
in-70f72ffd7de4d964,11/24/2025,Power BI,0.75,Medium High,LLM
in-70f72ffd7de4d964,11/24/2025,ROI analysis,0.843,High,BERT+LLM
in-70f72ffd7de4d964,11/24/2025,inventory management,0.821,High,BERT+LLM
in-70f72ffd7de4d964,11/24/2025,logistics,0.816,High,BERT+LLM
in-70f72ffd7de4d964,11/24/2025,Spanish,0.701,Medium High,BERT+LLM
in-70f72ffd7de4d964,11/24/2025,financial,0.281,Very Low,BERT (standalone)
in-70f72ffd7de4d964,11/24/2025,Power BI dashboards,0.551,Medium Low,BERT (standalone)
in-70f72ffd7de4d964,11/24/2025,Bachelor’s degree in,0.508,Medium Low,BERT (standalone)
in-70f72ffd7de4d964,11/24/2025,"Accounting,",0.436,Low,BERT (standalone)
in-70f72ffd7de4d964,11/24/2025,"Finance,",0.31,Very Low,BERT (standalone)
in-70f72ffd7de4d964,11/24/2025,European,0.481,Low,BERT (standalone)
in-7b302544688ef199,11/24/2025,Oracle Database,0.848,High,BERT+LLM
in-7b302544688ef199,11/24/2025,OCI database services,0.837,High,BERT+LLM
in-7b302544688ef199,11/24/2025,Autonomous Database,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,DBaaS,0.846,High,BERT+LLM
in-7b302544688ef199,11/24/2025,Exadata Cloud Service,0.811,High,BERT+LLM
in-7b302544688ef199,11/24/2025,cloud architecture,0.848,High,BERT+LLM
in-7b302544688ef199,11/24/2025,virtualization,0.845,High,BERT+LLM
in-7b302544688ef199,11/24/2025,OCI CLI,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,Console,0.844,High,BERT+LLM
in-7b302544688ef199,11/24/2025,APIs,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,Oracle AWR,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,ASH,0.843,High,BERT+LLM
in-7b302544688ef199,11/24/2025,OEM,0.844,High,BERT+LLM
in-7b302544688ef199,11/24/2025,cloud-native principles,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,infrastructure-as-code,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,Terraform,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,OCI Resource Manager,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,PL/SQL,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,database security best practices,0.851,High,BERT+LLM
in-7b302544688ef199,11/24/2025,GDPR,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,HIPAA,0.841,High,BERT+LLM
in-7b302544688ef199,11/24/2025,Agile Software Development,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,Full-Stack Application Development,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,Big Data,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,Cloud Technologies,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,Analytics,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,Machine Learning,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,DevOps Containerization,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,CND,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,CNE,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,CNO,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,Threat Mitigation,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,Vulnerability Exposure,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,Penetration Testing,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,Threat Hunting,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,Advanced Persistent Threat,0.75,Medium High,LLM
in-7b302544688ef199,11/24/2025,OCI,0.56,Medium Low,BERT (standalone)
in-7b302544688ef199,11/24/2025,"CLI,",0.515,Medium Low,BERT (standalone)
in-7b302544688ef199,11/24/2025,and,0.24,Very Low,BERT (standalone)
in-7b302544688ef199,11/24/2025,APIs).,0.546,Medium Low,BERT (standalone)
in-7b302544688ef199,11/24/2025,"SQL query optimization,",0.492,Low,BERT (standalone)
in-7b302544688ef199,11/24/2025,"indexing,",0.558,Medium Low,BERT (standalone)
in-7b302544688ef199,11/24/2025,partitioning.,0.548,Medium Low,BERT (standalone)
in-7b302544688ef199,11/24/2025,monitoring and diagnostic tools,0.394,Very Low,BERT (standalone)
in-7b302544688ef199,11/24/2025,Oracle,0.555,Medium Low,BERT (standalone)
in-7b302544688ef199,11/24/2025,"AWR,",0.432,Low,BERT (standalone)
in-7b302544688ef199,11/24/2025,cloud,0.56,Medium Low,BERT (standalone)
in-7b302544688ef199,11/24/2025,infrastructure,0.56,Medium Low,BERT (standalone)
in-7b302544688ef199,11/24/2025,Resource Manager).,0.485,Low,BERT (standalone)
in-7b302544688ef199,11/24/2025,"Python,",0.558,Medium Low,BERT (standalone)
in-7b302544688ef199,11/24/2025,"Shell scripting,",0.558,Medium Low,BERT (standalone)
in-7b302544688ef199,11/24/2025,SQL.,0.515,Medium Low,BERT (standalone)
in-7b302544688ef199,11/24/2025,"encryption,",0.509,Medium Low,BERT (standalone)
in-7b302544688ef199,11/24/2025,SCI,0.449,Low,BERT (standalone)
in-c4bf2551b547d446,11/25/2025,GCP,0.849,High,BERT+LLM
in-c4bf2551b547d446,11/25/2025,ICH,0.75,Medium High,LLM
in-c4bf2551b547d446,11/25/2025,SOPs,0.76,Medium High,BERT+LLM
in-c4bf2551b547d446,11/25/2025,clinical trial protocol,0.75,Medium High,LLM
in-c4bf2551b547d446,11/25/2025,Regulatory Authority,0.75,Medium High,LLM
in-c4bf2551b547d446,11/25/2025,Ethic Committee,0.75,Medium High,LLM
in-c4bf2551b547d446,11/25/2025,clinical quality monitoring,0.831,High,BERT+LLM
in-c4bf2551b547d446,11/25/2025,safety reporting,0.841,High,BERT+LLM
in-c4bf2551b547d446,11/25/2025,Therapeutic Areas,0.839,High,BERT+LLM
in-c4bf2551b547d446,11/25/2025,CROs,0.798,Medium High,BERT+LLM
in-c4bf2551b547d446,11/25/2025,patient recruitment,0.75,Medium High,LLM
in-c4bf2551b547d446,11/25/2025,investigator meetings,0.75,Medium High,LLM
in-c4bf2551b547d446,11/25/2025,Biomedical Life Sciences,0.826,High,BERT+LLM
in-c4bf2551b547d446,11/25/2025,patient,0.338,Very Low,BERT (standalone)
in-c4bf2551b547d446,11/25/2025,application SOPs,0.4,Low,BERT (standalone)
in-c4bf2551b547d446,11/25/2025,recruitment planning,0.356,Very Low,BERT (standalone)
in-c4bf2551b547d446,11/25/2025,patient value.,0.416,Low,BERT (standalone)
in-c4bf2551b547d446,11/25/2025,CTM,0.272,Very Low,BERT (standalone)
in-c4bf2551b547d446,11/25/2025,Parexel,0.367,Very Low,BERT (standalone)
in-c4bf2551b547d446,11/25/2025,"Parexel processes,",0.326,Very Low,BERT (standalone)
in-c4bf2551b547d446,11/25/2025,ICHGCPs,0.527,Medium Low,BERT (standalone)
in-c4bf2551b547d446,11/25/2025,clinical trial project management,0.465,Low,BERT (standalone)
in-c4bf2551b547d446,11/25/2025,project management,0.558,Medium Low,BERT (standalone)
in-c4bf2551b547d446,11/25/2025,team work,0.534,Medium Low,BERT (standalone)
in-c4bf2551b547d446,11/25/2025,client pipeline,0.551,Medium Low,BERT (standalone)
in-c4bf2551b547d446,11/25/2025,local,0.554,Medium Low,BERT (standalone)
in-c4bf2551b547d446,11/25/2025,regional major regulations,0.534,Medium Low,BERT (standalone)
in-c4bf2551b547d446,11/25/2025,guidelines and,0.514,Medium Low,BERT (standalone)
in-c4bf2551b547d446,11/25/2025,standard of care,0.542,Medium Low,BERT (standalone)
in-c4bf2551b547d446,11/25/2025,POs,0.456,Low,BERT (standalone)
in-c4bf2551b547d446,11/25/2025,AAI,0.529,Medium Low,BERT (standalone)
in-c4bf2551b547d446,11/25/2025,clinical trial planning and execution.,0.509,Medium Low,BERT (standalone)
in-c4bf2551b547d446,11/25/2025,University degree,0.534,Medium Low,BERT (standalone)
in-c4bf2551b547d446,11/25/2025,Masters degree,0.546,Medium Low,BERT (standalone)
in-b384ffc42151e03d,11/26/2025,Content Hub,0.75,Medium High,LLM
in-b384ffc42151e03d,11/26/2025,PLM,0.75,Medium High,LLM
in-b384ffc42151e03d,11/26/2025,SKU library,0.75,Medium High,LLM
in-b384ffc42151e03d,11/26/2025,Content Governance,0.804,High,BERT+LLM
in-b384ffc42151e03d,11/26/2025,analytics,0.75,Medium High,LLM
in-b384ffc42151e03d,11/26/2025,digital strategy,0.75,Medium High,LLM
in-b384ffc42151e03d,11/26/2025,change management,0.75,Medium High,LLM
in-b384ffc42151e03d,11/26/2025,content management solution,0.75,Medium High,LLM
in-b384ffc42151e03d,11/26/2025,Content,0.351,Very Low,BERT (standalone)
in-1114b330e1a2a499,11/26/2025,Defence,0.852,High,BERT+LLM
in-1114b330e1a2a499,11/26/2025,Data Centres,0.846,High,BERT+LLM
in-1114b330e1a2a499,11/26/2025,Rail,0.812,High,BERT+LLM
in-1114b330e1a2a499,11/26/2025,design thinking,0.75,Medium High,LLM
in-1114b330e1a2a499,11/26/2025,documentation delivery,0.837,High,BERT+LLM
in-1114b330e1a2a499,11/26/2025,design and,0.497,Low,BERT (standalone)
in-1114b330e1a2a499,11/26/2025,data centre project,0.528,Medium Low,BERT (standalone)
in-1114b330e1a2a499,11/26/2025,rail),0.336,Very Low,BERT (standalone)
in-e6c3e4dc37f56797,11/24/2025,backups,0.845,High,BERT+LLM
in-e6c3e4dc37f56797,11/24/2025,indexing,0.841,High,BERT+LLM
in-e6c3e4dc37f56797,11/24/2025,performance tuning,0.846,High,BERT+LLM
in-e6c3e4dc37f56797,11/24/2025,performance bottlenecks,0.846,High,BERT+LLM
in-e6c3e4dc37f56797,11/24/2025,connectivity problems,0.815,High,BERT+LLM
in-e6c3e4dc37f56797,11/24/2025,access controls,0.84,High,BERT+LLM
in-e6c3e4dc37f56797,11/24/2025,patching,0.66,Medium,BERT+LLM
in-e6c3e4dc37f56797,11/24/2025,SQL,0.851,High,BERT+LLM
in-e6c3e4dc37f56797,11/24/2025,DBMS,0.852,High,BERT+LLM
