skill,freq,mean_confidence,best_domain_id,best_future_domain,trend_label,trend_score,similarity,top1_similarity,top2_similarity,mapping_margin,domain_source,future_weight
develop AI,1,0.663,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.59806794,0.59806794,0.52968365,0.06838429,WEF_FutureOfJobs_2023,0.5681645423173904
explore AI and automation,1,0.667,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5973616,0.5973616,0.5183101,0.079051495,WEF_FutureOfJobs_2023,0.5674935430288315
implement AI/ML,1,0.674,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.56727606,0.56727606,0.47250566,0.0947704,WEF_FutureOfJobs_2023,0.5672760605812073
build AI agents,1,0.663,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5950773,0.5950773,0.48263836,0.11243892,WEF_FutureOfJobs_2023,0.5653234124183655
build AI automations,1,1.0,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.59422284,0.59422284,0.50037926,0.09384358,WEF_FutureOfJobs_2023,0.564511701464653
create machine learning technologies,1,0.679,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.56319886,0.56319886,0.32641682,0.23678204,WEF_FutureOfJobs_2023,0.5631988644599915
identify machine learning opportunities,1,1.0,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5620648,0.5620648,0.28747186,0.27459297,WEF_FutureOfJobs_2023,0.5620648264884949
collaborate with AI research communities,1,0.638,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.58902806,0.58902806,0.45780346,0.1312246,WEF_FutureOfJobs_2023,0.5595766574144363
integrate AI technology,1,0.703,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5869915,0.5869915,0.530548,0.056443512,WEF_FutureOfJobs_2023,0.557641914486885
architect AI/ML solutions,1,0.677,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5565479,0.5565479,0.5148847,0.04166317,WEF_FutureOfJobs_2023,0.5565478801727295
guide end -to -end AI solutions—from,1,0.473,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5852577,0.5852577,0.43976673,0.14549097,WEF_FutureOfJobs_2023,0.5559948235750198
work with AI Agents,1,0.582,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5850073,0.5850073,0.48396656,0.10104075,WEF_FutureOfJobs_2023,0.5557569444179534
define AI/ML platform strategy,1,0.593,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5554124,0.5554124,0.38582096,0.16959146,WEF_FutureOfJobs_2023,0.5554124116897583
develop AI-powered solutions,1,0.926,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5833142,0.5833142,0.488132,0.09518218,WEF_FutureOfJobs_2023,0.5541484713554382
interact with AI,1,0.56,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.58267117,0.58267117,0.4447055,0.13796568,WEF_FutureOfJobs_2023,0.5535376071929932
co-create with AI,1,0.587,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.58217716,0.58217716,0.38939372,0.19278345,WEF_FutureOfJobs_2023,0.5530683040618897
translate complex AI concepts for both engineers,1,0.488,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.581466,0.581466,0.4709068,0.110559225,WEF_FutureOfJobs_2023,0.5523927181959152
shape the future of artificial intelligence,1,0.635,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.55030525,0.55030525,0.47382244,0.0764828,WEF_FutureOfJobs_2023,0.5503052473068237
implement AI ML solutions,1,0.74,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5498691,0.5498691,0.473339,0.07653013,WEF_FutureOfJobs_2023,0.5498691201210022
lead development of AI systems,1,0.613,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.57833964,0.57833964,0.41605076,0.16228887,WEF_FutureOfJobs_2023,0.5494226545095443
work with AI-assisted automation,1,0.594,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5766469,0.5766469,0.51640594,0.060240984,WEF_FutureOfJobs_2023,0.5478145778179169
"work closely with AI Engineers, Data Scientists, and platform specialists",1,0.635,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.54756135,0.54756135,0.50881094,0.03875041,WEF_FutureOfJobs_2023,0.5475613474845886
implement machine learning solutions,2,0.687,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5463861,0.5463861,0.29250148,0.25388464,WEF_FutureOfJobs_2023,0.5463861227035522
"work closely with AI developers, data scientists, and product teams",1,0.912,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5738839,0.5738839,0.51232934,0.06155455,WEF_FutureOfJobs_2023,0.5451896965503692
AI readiness,1,0.309,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.57279605,0.57279605,0.4372646,0.13553146,WEF_FutureOfJobs_2023,0.5441562443971634
use AI agents,1,0.684,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.57261807,0.57261807,0.49142206,0.08119601,WEF_FutureOfJobs_2023,0.5439871639013291
integrate advanced AI capabilities,1,1.0,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.57215494,0.57215494,0.47268417,0.099470764,WEF_FutureOfJobs_2023,0.5435471922159195
deploy cloud infrastructure solutions,1,0.649,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.6390407,0.6390407,0.24361937,0.39542133,WEF_FutureOfJobs_2023,0.5431846022605896
develop AI-driven solutions,1,0.709,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5707273,0.5707273,0.49123976,0.07948753,WEF_FutureOfJobs_2023,0.5421909242868423
work with AI technologies,1,0.614,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5698172,0.5698172,0.563373,0.006444156,WEF_FutureOfJobs_2023,0.5413263261318206
enhance human-robot collaboration,1,0.686,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.56931496,0.56931496,0.34306762,0.22624734,WEF_FutureOfJobs_2023,0.5408492088317871
plan techniques for AI/ML tools,1,0.667,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.54062635,0.54062635,0.47153604,0.06909031,WEF_FutureOfJobs_2023,0.5406263470649719
understand Machine Learning concepts,1,0.598,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.54017097,0.54017097,0.27928862,0.26088235,WEF_FutureOfJobs_2023,0.5401709675788879
governance for AI initiatives.,1,0.513,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.56781244,0.56781244,0.4356191,0.13219336,WEF_FutureOfJobs_2023,0.539421820640564
conduct AI research,1,0.589,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5675962,0.5675962,0.45649827,0.11109793,WEF_FutureOfJobs_2023,0.539216387271881
"work at the intersection of AI, human interaction, and environmental context",1,0.565,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.56709,0.56709,0.40183744,0.16525254,WEF_FutureOfJobs_2023,0.5387354761362075
assess opportunities for AI/data analytics technologies,1,0.714,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5371838,0.5371838,0.5274805,0.009703338,WEF_FutureOfJobs_2023,0.5371838212013245
develop techniques for AI/ML tools,1,0.67,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5369634,0.5369634,0.47057524,0.06638816,WEF_FutureOfJobs_2023,0.5369634032249451
work with AI developer interns,1,0.879,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.56325895,0.56325895,0.4786164,0.08464256,WEF_FutureOfJobs_2023,0.5350959986448288
build NLP/AI software,1,1.0,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.53456604,0.53456604,0.47595066,0.058615386,WEF_FutureOfJobs_2023,0.5345660448074341
use AI,1,0.684,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5620478,0.5620478,0.51865184,0.043395936,WEF_FutureOfJobs_2023,0.5339453905820847
implement AI capabilities,1,1.0,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5617511,0.5617511,0.48667467,0.07507646,WEF_FutureOfJobs_2023,0.5336635708808899
develop machine learning algorithms,1,0.678,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.53360504,0.53360504,0.27807808,0.25552696,WEF_FutureOfJobs_2023,0.5336050391197205
use AI and automation strategically,1,0.591,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.56097144,0.56097144,0.47807047,0.08290097,WEF_FutureOfJobs_2023,0.5329228669404983
experimenting with AI,1,0.506,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.56031,0.56031,0.45378348,0.106526524,WEF_FutureOfJobs_2023,0.5322945058345795
implement machine learning,1,0.678,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5319829,0.5319829,0.2659418,0.2660411,WEF_FutureOfJobs_2023,0.5319828987121582
build advanced AI capabilities,1,0.908,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.558695,0.558695,0.47034615,0.088348866,WEF_FutureOfJobs_2023,0.5307602673768997
support artificial intelligence capabilities,1,0.733,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5305753,0.5305753,0.4478579,0.08271739,WEF_FutureOfJobs_2023,0.5305752754211426
build cloud infrastructure,1,0.678,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.6239862,0.6239862,0.26569524,0.35829094,WEF_FutureOfJobs_2023,0.530388256907463
collaborate with AI and GenAI product teams,1,0.658,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5581373,0.5581373,0.38319343,0.17494386,WEF_FutureOfJobs_2023,0.5302304327487946
identify data and analytics engineering needs,1,0.974,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.5887124,0.5887124,0.43114468,0.15756771,WEF_FutureOfJobs_2023,0.5298411548137665
implement AI agents,1,0.697,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5568121,0.5568121,0.45368958,0.10312253,WEF_FutureOfJobs_2023,0.5289715021848679
provide data and analytics engineering solutions,1,0.992,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.58546627,0.58546627,0.39880216,0.1866641,WEF_FutureOfJobs_2023,0.5269196391105652
study cybersecurity programs,1,0.627,WEF03,Cybersecurity,Strong_Growth,0.9,0.5853476,0.5853476,0.29303563,0.29231197,WEF_FutureOfJobs_2023,0.5268128335475922
cloud infrastructure solutions.,1,0.544,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.6193626,0.6193626,0.38980278,0.22955981,WEF_FutureOfJobs_2023,0.526458203792572
architect Agentic AI solutions,1,0.673,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5539705,0.5539705,0.43004128,0.12392923,WEF_FutureOfJobs_2023,0.526271989941597
research techniques for AI/ML tools,1,0.591,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5254741,0.5254741,0.44017005,0.08530402,WEF_FutureOfJobs_2023,0.5254740715026855
apply AI -assisted development practices,1,0.51,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5525539,0.5525539,0.37783557,0.17471832,WEF_FutureOfJobs_2023,0.5249261975288391
implement techniques for AI/ML tools,1,0.671,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5246584,0.5246584,0.46832404,0.056334347,WEF_FutureOfJobs_2023,0.5246583819389343
understand AI,1,0.63,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5522081,0.5522081,0.48535907,0.06684905,WEF_FutureOfJobs_2023,0.5245977193117142
architect AI systems,1,0.715,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5520713,0.5520713,0.5031039,0.04896736,WEF_FutureOfJobs_2023,0.52446770966053
focus on cybersecurity,1,0.568,WEF03,Cybersecurity,Strong_Growth,0.9,0.5819838,0.5819838,0.26244792,0.31953588,WEF_FutureOfJobs_2023,0.523785424232483
build cloud environments,1,0.675,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.61579365,0.61579365,0.2800599,0.33573374,WEF_FutureOfJobs_2023,0.5234245985746383
AI solutions,2,0.5015000000000001,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5505135,0.5505135,0.49362546,0.056888044,WEF_FutureOfJobs_2023,0.5229878306388854
AI capabilities are embedded,1,0.447,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5225322,0.5225322,0.5135159,0.009016335,WEF_FutureOfJobs_2023,0.5225322246551514
execute Responsible AI program,1,0.673,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5487919,0.5487919,0.36510223,0.18368965,WEF_FutureOfJobs_2023,0.5213522911071777
develop enterprise AI software solutions,1,0.981,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.54860485,0.54860485,0.47100407,0.07760078,WEF_FutureOfJobs_2023,0.5211746037006378
implement AI models,1,0.622,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5210855,0.5210855,0.49278975,0.028295755,WEF_FutureOfJobs_2023,0.5210855007171631
reason with AI,1,0.558,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.54794407,0.54794407,0.42308936,0.12485471,WEF_FutureOfJobs_2023,0.5205468654632568
integrate machine learning solutions,1,0.761,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5205302,0.5205302,0.2731641,0.24736613,WEF_FutureOfJobs_2023,0.5205302238464355
adopt AI,1,0.556,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5467366,0.5467366,0.41153297,0.13520363,WEF_FutureOfJobs_2023,0.5193997681140899
solving complex automation challenges through collaborative innovation?,1,0.482,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5464776,0.5464776,0.45772633,0.088751286,WEF_FutureOfJobs_2023,0.5191537350416183
use AI responsibly,1,0.667,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.54641646,0.54641646,0.39812744,0.14828902,WEF_FutureOfJobs_2023,0.5190956383943558
leverage AI technologies,1,0.596,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5461941,0.5461941,0.49538794,0.050806135,WEF_FutureOfJobs_2023,0.5188843727111816
master AI coding tools in production environments,1,0.634,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.54373294,0.54373294,0.47903457,0.06469837,WEF_FutureOfJobs_2023,0.516546294093132
plan cybersecurity programs,1,0.709,WEF03,Cybersecurity,Strong_Growth,0.9,0.5733538,0.5733538,0.2808105,0.29254332,WEF_FutureOfJobs_2023,0.5160184442996979
operate cloud environments,1,0.598,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.6070742,0.6070742,0.35421833,0.25285587,WEF_FutureOfJobs_2023,0.5160130709409714
using AI -powered tools,1,0.472,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.54308033,0.54308033,0.4544096,0.08867073,WEF_FutureOfJobs_2023,0.5159263134002685
building autonomous AI agents +,1,0.486,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.54286474,0.54286474,0.41062367,0.13224107,WEF_FutureOfJobs_2023,0.5157215029001235
evaluate cybersecurity programs,1,0.631,WEF03,Cybersecurity,Strong_Growth,0.9,0.57225144,0.57225144,0.25699037,0.31526107,WEF_FutureOfJobs_2023,0.5150262951850891
communicate with AI agent,1,0.631,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5412752,0.5412752,0.38336813,0.15790707,WEF_FutureOfJobs_2023,0.5142114430665969
implement AI systems,1,1.0,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5403341,0.5403341,0.49482173,0.04551238,WEF_FutureOfJobs_2023,0.5133174002170563
ensure confidence in facilitating AI projects,1,0.614,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5398566,0.5398566,0.3486806,0.19117603,WEF_FutureOfJobs_2023,0.5128637820482254
develop agentic AI solutions,1,0.671,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.53957564,0.53957564,0.4315563,0.10801932,WEF_FutureOfJobs_2023,0.5125968545675278
join DevOps and Cloud Infrastructure team,1,0.661,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.6029666,0.6029666,0.2952837,0.3076829,WEF_FutureOfJobs_2023,0.5125216156244278
plan enterprise AI software solutions,1,0.839,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5394097,0.5394097,0.48589712,0.053512573,WEF_FutureOfJobs_2023,0.5124392122030258
work with Cloud technologies particularly AWS,1,0.619,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.6026097,0.6026097,0.36124885,0.24136084,WEF_FutureOfJobs_2023,0.51221823990345
deploy AI systems,1,0.694,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.53862834,0.53862834,0.4668795,0.07174885,WEF_FutureOfJobs_2023,0.5116969227790832
AI concepts effectively with business and,1,0.459,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5115798,0.5115798,0.4645214,0.047058403,WEF_FutureOfJobs_2023,0.5115798115730286
lead AI/ML engineering,1,0.619,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.51157445,0.51157445,0.48848116,0.023093283,WEF_FutureOfJobs_2023,0.5115744471549988
"understand basic computing, networking, and cybersecurity concepts",1,0.574,WEF03,Cybersecurity,Strong_Growth,0.9,0.568251,0.568251,0.3023265,0.2659245,WEF_FutureOfJobs_2023,0.5114259123802185
lead end-to-end delivery of complex AI/ML engagements,1,0.969,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5381021,0.5381021,0.502981,0.035121083,WEF_FutureOfJobs_2023,0.5111969858407974
develop career in data engineering,1,0.633,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.566724,0.566724,0.39495075,0.17177325,WEF_FutureOfJobs_2023,0.5100516021251679
implement cloud solutions,1,0.706,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.59907293,0.59907293,0.29001683,0.3090561,WEF_FutureOfJobs_2023,0.5092119932174682
integrate AI-driven capabilities,2,0.843,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5353626,0.5353626,0.4605074,0.07485521,WEF_FutureOfJobs_2023,0.5085944712162017
communicate complex AI concepts,1,0.642,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5340719,0.5340719,0.43848145,0.09559047,WEF_FutureOfJobs_2023,0.5073683261871338
manage Cloud Computing (Azure/GCP/AWS),1,0.651,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5953752,0.5953752,0.26497397,0.3304012,WEF_FutureOfJobs_2023,0.5060689032077789
model for AI,1,0.658,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.50586456,0.50586456,0.5006873,0.0051772594,WEF_FutureOfJobs_2023,0.5058645606040955
build machine learning applications,1,0.707,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5057677,0.5057677,0.28599665,0.21977106,WEF_FutureOfJobs_2023,0.5057677030563354
configure cloud infrastructure solutions,1,0.652,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5945481,0.5945481,0.29985657,0.29469153,WEF_FutureOfJobs_2023,0.5053658902645111
building machine learning and,1,0.446,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5051447,0.5051447,0.3291277,0.17601702,WEF_FutureOfJobs_2023,0.5051447153091431
design cloud infrastructure solutions,1,0.736,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.593876,0.593876,0.27285793,0.32101807,WEF_FutureOfJobs_2023,0.5047946035861969
provide cloud infrastructure,1,0.601,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.59386086,0.59386086,0.28224227,0.3116186,WEF_FutureOfJobs_2023,0.5047817349433898
use AI technologies,1,0.589,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5310448,0.5310448,0.5215754,0.00946939,WEF_FutureOfJobs_2023,0.5044925421476364
lead AI teams,1,1.0,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5307074,0.5307074,0.37316218,0.15754524,WEF_FutureOfJobs_2023,0.5041720479726791
define the target architecture for AI / ML,1,0.501,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5039828,0.5039828,0.40317443,0.10080835,WEF_FutureOfJobs_2023,0.5039827823638916
offer capabilities in AI/ML,1,0.565,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5038426,0.5038426,0.44716474,0.056677848,WEF_FutureOfJobs_2023,0.5038425922393799
integrate AI,1,0.641,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5300488,0.5300488,0.48104656,0.04900223,WEF_FutureOfJobs_2023,0.5035463482141495
integrate AI/ML models,1,0.777,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.50354296,0.50354296,0.37733346,0.1262095,WEF_FutureOfJobs_2023,0.503542959690094
integrate cloud-based infrastructure,1,0.992,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5915978,0.5915978,0.3408246,0.2507732,WEF_FutureOfJobs_2023,0.5028581261634827
"develop, maintain, and deploy LLM, machine learning, and natural language processing pipelines and models",1,0.612,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5027328,0.5027328,0.3994033,0.10332951,WEF_FutureOfJobs_2023,0.5027328133583069
support cloud development,1,0.597,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5914081,0.5914081,0.29389063,0.29751745,WEF_FutureOfJobs_2023,0.5026968628168106
manage cloud infrastructure,3,0.573,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.591116,0.591116,0.35173807,0.23937795,WEF_FutureOfJobs_2023,0.5024486094713211
enhance cybersecurity,1,0.716,WEF03,Cybersecurity,Strong_Growth,0.9,0.5581341,0.5581341,0.25204027,0.3060938,WEF_FutureOfJobs_2023,0.502320671081543
bridging the gap between AI research,1,0.449,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.52871007,0.52871007,0.4814333,0.047276765,WEF_FutureOfJobs_2023,0.5022745639085769
incorporate AI-driven capabilities,1,0.606,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.52844864,0.52844864,0.44081762,0.08763102,WEF_FutureOfJobs_2023,0.5020262092351914
unlock modern AI capabilities,1,0.894,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.52799237,0.52799237,0.44229972,0.085692644,WEF_FutureOfJobs_2023,0.5015927493572235
build data and analytics solutions,1,0.745,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.5572676,0.5572676,0.38560736,0.17166024,WEF_FutureOfJobs_2023,0.5015408456325531
own AI systems,1,0.596,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5276771,0.5276771,0.4731974,0.05447972,WEF_FutureOfJobs_2023,0.5012932628393173
administer cloud infrastructure,1,0.604,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5896413,0.5896413,0.38741678,0.2022245,WEF_FutureOfJobs_2023,0.5011950820684433
deliver enterprise AI software solutions,1,1.0,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5272347,0.5272347,0.43577918,0.09145549,WEF_FutureOfJobs_2023,0.500872939825058
cloud platforms,1,0.454,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5878026,0.5878026,0.39086288,0.1969397,WEF_FutureOfJobs_2023,0.4996322005987167
translate complex AI capabilities,1,1.0,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5255974,0.5255974,0.44335535,0.08224204,WEF_FutureOfJobs_2023,0.4993175238370895
enhance cybersecurity practices,1,0.685,WEF03,Cybersecurity,Strong_Growth,0.9,0.5547044,0.5547044,0.24107292,0.3136315,WEF_FutureOfJobs_2023,0.4992339849472046
develop machine learning models,8,0.725875,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.49915278,0.49915278,0.2615141,0.23763868,WEF_FutureOfJobs_2023,0.4991527795791626
build AI platform,1,0.709,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5253499,0.5253499,0.5049892,0.020360708,WEF_FutureOfJobs_2023,0.4990824192762375
discover cybersecurity capabilities,1,0.772,WEF03,Cybersecurity,Strong_Growth,0.9,0.5545348,0.5545348,0.27415395,0.28038085,WEF_FutureOfJobs_2023,0.4990813136100769
detect cybersecurity threats,2,0.733,WEF03,Cybersecurity,Strong_Growth,0.9,0.5543354,0.5543354,0.19363397,0.36070144,WEF_FutureOfJobs_2023,0.4989018738269806
work within a cloud environment,1,0.982,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5864815,0.5864815,0.30091086,0.28557065,WEF_FutureOfJobs_2023,0.49850928485393525
apply cybersecurity capabilities,1,0.772,WEF03,Cybersecurity,Strong_Growth,0.9,0.5538474,0.5538474,0.27646098,0.2773864,WEF_FutureOfJobs_2023,0.49846263527870177
translate AI vision into technical designs,1,0.685,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.49768814,0.49768814,0.49466386,0.00302428,WEF_FutureOfJobs_2023,0.4976881444454193
