knowledge,freq,mean_confidence,best_domain_id,best_future_domain,trend_label,trend_score,similarity,top1_similarity,top2_similarity,top3_similarity,mapping_margin,top2_domain_id,top3_domain_id,domain_source,future_weight
AI engineering,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.58785534,0.58785534,0.58639187,0.3442959,0.0014634728,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5584625720977783
AI-assisted development,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5875723,0.5875723,0.4506807,0.35028526,0.13689157,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5581936627626419
AI training,1,0.839,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.55780464,0.55780464,0.51556176,0.32098752,0.042242885,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5578046441078186
AI integrations,1,0.798,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5545923,0.5545923,0.55081886,0.36344844,0.0037734509,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5545923113822937
"AI services,",1,0.465,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5776541,0.5776541,0.54232585,0.41152278,0.03532827,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5487714171409607
AI assistants,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.577347,0.577347,0.53664523,0.33827245,0.040701747,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5484796315431595
AI/ML models,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5447857,0.5447857,0.38096574,0.25387427,0.16381994,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5447856783866882
"cloud infrastructure, automation,",1,0.434,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.64077574,0.64077574,0.4336323,0.38331556,0.20714343,MCK01,ONET02,WEF_FutureOfJobs_2025,0.5446593791246414
AI workflows.,1,0.423,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.54335046,0.54335046,0.53070164,0.4582558,0.012648821,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5433504581451416
AI servers,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.54101664,0.54101664,0.5010146,0.35425884,0.040002048,WEF07,WEF04,WEF_FutureOfJobs_2025,0.5410166382789612
"Data Science / Analytics,",1,0.55,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.59965336,0.59965336,0.5180722,0.42011937,0.081581175,ONET02,ESCO02,WEF_FutureOfJobs_2025,0.5396880269050598
artificial intelligence technologies.,1,0.524,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5394928,0.5394928,0.49859416,0.3711806,0.04089862,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5394927859306335
AI platform,3,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.53901196,0.53901196,0.49321362,0.29652458,0.04579833,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5390119552612305
cloud infrastructure,28,0.785,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.63257587,0.63257587,0.35114008,0.35095474,0.2814358,ONET06,ONET02,WEF_FutureOfJobs_2025,0.5376894891262054
Data & Analytics,1,0.75,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.5959775,0.5959775,0.48773766,0.387268,0.10823983,ONET02,ESCO02,WEF_FutureOfJobs_2025,0.5363797366619111
Data & AI consulting,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5321828,0.5321828,0.4959541,0.47111553,0.036228716,WEF07,WEF02,WEF_FutureOfJobs_2025,0.5321828126907349
Cloud environment,1,0.73,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.624933,0.624933,0.36815408,0.27114126,0.25677893,ONET02,ONET06,WEF_FutureOfJobs_2025,0.5311930537223816
AI hardware products,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5305838,0.5305838,0.49621415,0.35593534,0.034369648,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5305837988853455
AI infrastructure,2,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.55827045,0.55827045,0.54580283,0.3635031,0.012467623,WEF01,WEF04,WEF_FutureOfJobs_2025,0.5303569316864013
AI -related,1,0.458,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.55379397,0.55379397,0.5040673,0.30447716,0.049726665,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5261042684316635
AI ecosystem,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5258614,0.5258614,0.51316965,0.29971322,0.012691736,WEF07,WEF04,WEF_FutureOfJobs_2025,0.525861382484436
AI content,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5250491,0.5250491,0.52135897,0.28343177,0.0036901236,WEF07,MCK01,WEF_FutureOfJobs_2025,0.525049090385437
cloud environments,9,0.7605555555555555,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.61700165,0.61700165,0.41900924,0.32001746,0.19799241,ONET02,ONET06,WEF_FutureOfJobs_2025,0.5244514048099518
machine learning platforms,1,0.801,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5241265,0.5241265,0.3111269,0.28505707,0.21299964,WEF05,WEF02,WEF_FutureOfJobs_2025,0.5241265296936035
Cloud & Systems,1,0.538,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.6154338,0.6154338,0.4752427,0.44383493,0.14019111,ONET02,ONET06,WEF_FutureOfJobs_2025,0.5231187403202057
AI agents,3,0.8143333333333334,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5501501,0.5501501,0.5459432,0.34246606,0.004206896,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5226425915956497
Cloud Infrastructure and application development,1,0.523,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.6143825,0.6143825,0.31756008,0.30150098,0.29682243,ONET02,ONET01,WEF_FutureOfJobs_2025,0.5222251296043395
AI-related products,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.54924047,0.54924047,0.51777375,0.34441045,0.031466722,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5217784464359283
AI applications and workflows.,1,0.428,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.52174616,0.52174616,0.51310223,0.4603688,0.008643925,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5217461585998535
AI/ML methodologies,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5215311,0.5215311,0.44733968,0.3177427,0.07419142,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5215311050415039
AI applications,2,0.769,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5201476,0.5201476,0.50598073,0.35741282,0.014166892,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5201476216316223
Azure cloud infrastructure,1,0.845,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.6108114,0.6108114,0.2561167,0.24664336,0.35469472,ONET06,WEF05,WEF_FutureOfJobs_2025,0.5191897004842758
modern AI-assisted development,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5464857,0.5464857,0.40002656,0.3507284,0.14645916,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5191614359617233
AI-assisted engineering tools,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.54638374,0.54638374,0.4564366,0.34284756,0.089947134,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5190645515918731
Big Data & Analytics ecosystem,1,0.75,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.57636744,0.57636744,0.34456322,0.32675484,0.23180422,ONET02,WEF01,WEF_FutureOfJobs_2025,0.5187306940555573
digital literacy,1,0.764,WEF08,Technological Literacy & Digital Fluency,Strong_Growth,0.85,0.6088873,0.6088873,0.2904067,0.28994614,0.3184806,ONET03,WEF05,WEF_FutureOfJobs_2025,0.5175542175769806
cloud operations,3,0.7876666666666666,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.60830045,0.60830045,0.42365232,0.32722458,0.18464813,ONET02,ONET06,WEF_FutureOfJobs_2025,0.5170553803443908
AI integration,2,0.6990000000000001,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5437848,0.5437848,0.52635163,0.3443304,0.017433167,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5165955573320389
cloud engineering,3,0.7336666666666667,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.6072732,0.6072732,0.35233998,0.33211225,0.25493324,ONET02,ONET01,WEF_FutureOfJobs_2025,0.5161822378635407
AI hardware,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.51485753,0.51485753,0.464632,0.29601792,0.050225526,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5148575305938721
cloud platform operations,1,0.815,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.60494554,0.60494554,0.40077046,0.35906833,0.20417508,ONET02,WEF05,WEF_FutureOfJobs_2025,0.5142037093639373
AI products,1,0.843,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5408522,0.5408522,0.5391227,0.33696288,0.0017294884,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5138095796108245
enterprise AI platforms,1,0.835,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5137529,0.5137529,0.4975676,0.33385226,0.016185284,WEF07,WEF04,WEF_FutureOfJobs_2025,0.5137528777122498
cybersecurity standards,1,0.848,WEF03,Cybersecurity,Strong_Growth,0.9,0.5684992,0.5684992,0.2847561,0.2630206,0.2837431,ONET06,ONET02,WEF_FutureOfJobs_2025,0.5116492867469787
AI supported toolchains,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5384591,0.5384591,0.4836466,0.35797867,0.05481252,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5115361660718918
"AI technologies, frameworks,",1,0.413,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.53819716,0.53819716,0.531812,0.35505822,0.0063851476,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5112873017787933
cloud computing platforms,1,0.809,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.6008928,0.6008928,0.37760952,0.36986166,0.22328326,ONET06,WEF05,WEF_FutureOfJobs_2025,0.5107588648796081
AI ethics,1,0.846,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.53727907,0.53727907,0.417714,0.23154463,0.11956507,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5104151159524918
AI Compliance,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5370987,0.5370987,0.43023968,0.3453851,0.10685903,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5102437704801559
AI standards,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.53692466,0.53692466,0.480017,0.31473076,0.056907654,WEF01,MCK01,WEF_FutureOfJobs_2025,0.510078427195549
"data or computer science,",1,0.524,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.5665585,0.5665585,0.48197377,0.4339841,0.08458471,ONET02,WEF01,WEF_FutureOfJobs_2025,0.5099026322364807
Cloud and Container,1,0.507,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.59950995,0.59950995,0.22336979,0.20673299,0.37614018,ONET06,ONET02,WEF_FutureOfJobs_2025,0.5095834612846374
AI application scenarios,1,0.73,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5093346,0.5093346,0.5061822,0.36955658,0.00315243,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5093346238136292
AI economy,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.509221,0.509221,0.48465958,0.2697362,0.024561435,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5092210173606873
cloud platform services,1,0.851,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5988314,0.5988314,0.3565296,0.35470316,0.24230182,ONET02,WEF05,WEF_FutureOfJobs_2025,0.5090067028999329
cloud services,8,0.725375,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.59876126,0.59876126,0.37473607,0.37278175,0.22402519,ONET02,ONET06,WEF_FutureOfJobs_2025,0.5089470714330673
AI coding agents,1,0.845,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.53352976,0.53352976,0.5165753,0.36545902,0.016954482,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5068532705307006
AI Builder,1,0.848,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5332166,0.5332166,0.48179936,0.32899663,0.05141723,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5065557658672333
"Platform, Data and AI solutions",1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5057242,0.5057242,0.45323136,0.33041084,0.052492827,WEF07,WEF02,WEF_FutureOfJobs_2025,0.5057241916656494
AI literacy,2,0.8234999999999999,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.53215027,0.53215027,0.48660064,0.33382845,0.04554963,WEF01,WEF08,WEF_FutureOfJobs_2025,0.5055427551269531
Cloud Infrastructure technologies,1,0.823,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.59471714,0.59471714,0.33775192,0.29528433,0.25696522,ONET06,ONET02,WEF_FutureOfJobs_2025,0.5055095732212066
big data tools,1,0.497,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.5613126,0.5613126,0.3927725,0.29492038,0.16854012,ONET02,WEF01,WEF_FutureOfJobs_2025,0.5051813542842866
AI models,8,0.748,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.50491965,0.50491965,0.42307457,0.24362706,0.081845075,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5049196481704712
Infrastructure and DevOps,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.59373283,0.59373283,0.39566872,0.36980218,0.19806412,ONET02,ONET01,WEF_FutureOfJobs_2025,0.504672908782959
AI tech stack,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5300879,0.5300879,0.5140505,0.32808733,0.016037405,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5035834938287734
machine learning lifecycle,2,0.763,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5033517,0.5033517,0.30674484,0.2746044,0.19660684,DEC03,WEF07,WEF_FutureOfJobs_2025,0.5033516883850098
cybersecurity infrastructure,1,0.75,WEF03,Cybersecurity,Strong_Growth,0.9,0.558295,0.558295,0.34510645,0.3322033,0.21318856,WEF04,ONET06,WEF_FutureOfJobs_2025,0.5024655103683472
AI-enabled services,1,0.68,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.52883464,0.52883464,0.49338832,0.3817878,0.035446316,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5023929089307785
AI platforms and technologies,1,0.808,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5017469,0.5017469,0.42994773,0.33173844,0.07179916,WEF07,WEF05,WEF_FutureOfJobs_2025,0.5017468929290771
AI innovation,1,0.845,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5277595,0.5277595,0.44861415,0.2516521,0.07914534,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5013715177774429
Enterprise Data & AI solutions,1,0.846,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5009012,0.5009012,0.4855793,0.40345132,0.01532191,WEF07,WEF02,WEF_FutureOfJobs_2025,0.5009012222290039
resilience,3,0.8036666666666666,MCK05,Resilience & Adaptability,Strong_Growth,0.75,0.6678448,0.6678448,0.1879424,0.18145409,0.4799024,ONET02,DEC03,WEF_FutureOfJobs_2025,0.5008835792541504
ML/AI,2,0.569,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.50058174,0.50058174,0.4025823,0.22575805,0.09799945,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5005817413330078
cloud infrastructure tools,1,0.849,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.588713,0.588713,0.38991517,0.31134444,0.19879782,ONET02,WEF02,WEF_FutureOfJobs_2025,0.5004060417413712
Machine Learning models / projects,1,0.531,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5002382,0.5002382,0.31756908,0.2745581,0.1826691,WEF07,ESCO02,WEF_FutureOfJobs_2025,0.5002381801605225
big data analytics infrastructure,1,0.75,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.554077,0.554077,0.33224314,0.32820675,0.22183388,ONET02,WEF04,WEF_FutureOfJobs_2025,0.4986693263053894
AI governance,5,0.6759999999999999,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5247932,0.5247932,0.42914242,0.2294298,0.09565079,WEF01,ONET06,WEF_FutureOfJobs_2025,0.49855354726314544
AI industry business development,1,0.851,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.49853095,0.49853095,0.4796138,0.4194032,0.018917143,WEF07,ESCO02,WEF_FutureOfJobs_2025,0.49853095412254333
AI governance tools,1,0.834,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.52298003,0.52298003,0.44849038,0.24721071,0.07448965,WEF01,MCK01,WEF_FutureOfJobs_2025,0.4968310326337814
machine learning infrastructure,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.49664196,0.49664196,0.3095565,0.2956552,0.18708545,WEF02,WEF04,WEF_FutureOfJobs_2025,0.49664196372032166
AI/ML lifecycle,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.4964649,0.4964649,0.40300864,0.2613184,0.09345627,WEF07,MCK01,WEF_FutureOfJobs_2025,0.49646490812301636
AI cybersecurity,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5222544,0.5222544,0.49986088,0.439519,0.022393525,WEF01,WEF03,WEF_FutureOfJobs_2025,0.4961416870355606
AI system certifications,1,0.558,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.52211654,0.52211654,0.5049005,0.40588778,0.017216027,WEF01,MCK01,WEF_FutureOfJobs_2025,0.49601071476936337
cloud applications,2,0.8145,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5834499,0.5834499,0.39216098,0.35520282,0.19128892,ONET02,ONET06,WEF_FutureOfJobs_2025,0.4959324151277542
AI solutions,4,0.7625,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5218921,0.5218921,0.4830629,0.26763424,0.038829178,WEF01,MCK01,WEF_FutureOfJobs_2025,0.49579746723175044
AI concepts,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.4955674,0.4955674,0.4829845,0.30961087,0.012582898,WEF07,MCK01,WEF_FutureOfJobs_2025,0.4955674111843109
AI-driven tools,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.49555394,0.49555394,0.48573178,0.31425107,0.00982216,WEF07,MCK01,WEF_FutureOfJobs_2025,0.4955539405345917
AI for Science,1,0.847,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.49501905,0.49501905,0.47653222,0.22471528,0.018486828,WEF07,MCK01,WEF_FutureOfJobs_2025,0.4950190484523773
AI research,5,0.6359999999999999,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.52086073,0.52086073,0.48734826,0.25523248,0.033512473,WEF01,MCK01,WEF_FutureOfJobs_2025,0.4948176950216293
cloud deployment,1,0.761,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.58211577,0.58211577,0.2368141,0.19834495,0.3453017,ONET02,ONET01,WEF_FutureOfJobs_2025,0.4947984039783478
AI-enabled analytics,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.49428418,0.49428418,0.44243497,0.40484628,0.051849216,WEF07,WEF02,WEF_FutureOfJobs_2025,0.49428418278694153
AI Agents technology,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.51975495,0.51975495,0.50230366,0.32707226,0.017451286,WEF01,MCK01,WEF_FutureOfJobs_2025,0.4937671989202499
responsible AI,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5188158,0.5188158,0.4101127,0.26708475,0.10870311,WEF01,MCK01,WEF_FutureOfJobs_2025,0.49287502467632294
"cloud operations space,",1,0.512,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5789949,0.5789949,0.39997584,0.29540706,0.1790191,ONET02,ONET06,WEF_FutureOfJobs_2025,0.4921456903219223
resiliency,2,0.634,MCK05,Resilience & Adaptability,Strong_Growth,0.75,0.65591997,0.65591997,0.20647949,0.17920141,0.44944048,DEC03,ONET02,WEF_FutureOfJobs_2025,0.491939976811409
AI Learning Specialists,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.49186343,0.49186343,0.44846708,0.2763748,0.043396354,WEF07,MCK01,WEF_FutureOfJobs_2025,0.4918634295463562
cloud architectures,2,0.8009999999999999,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.57832944,0.57832944,0.3724059,0.32883772,0.20592356,ONET02,ONET06,WEF_FutureOfJobs_2025,0.49158002734184264
Augmented & Artificial Intelligence,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.516933,0.516933,0.49237,0.32290298,0.024563015,WEF01,ONET04,WEF_FutureOfJobs_2025,0.4910863727331161
cloud computing,11,0.7713636363636364,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.57746273,0.57746273,0.3719088,0.34821266,0.20555392,ONET06,ONET02,WEF_FutureOfJobs_2025,0.49084332287311555
human implications of AI,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.51592964,0.51592964,0.4481655,0.22923999,0.06776413,WEF01,MCK01,WEF_FutureOfJobs_2025,0.49013315737247465
cloud solutions,2,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5763163,0.5763163,0.34457195,0.30897212,0.23174435,ONET02,ONET06,WEF_FutureOfJobs_2025,0.48986885249614714
AI/ML,8,0.749375,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.48981532,0.48981532,0.41466767,0.23086673,0.07514766,WEF07,MCK01,WEF_FutureOfJobs_2025,0.4898153245449066
"Cloud infrastructure, management, and networking",1,0.544,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.57584625,0.57584625,0.37267432,0.26874566,0.20317194,ONET02,ONET06,WEF_FutureOfJobs_2025,0.48946931660175325
"cloud migrations,",2,0.702,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.57581806,0.57581806,0.3897423,0.25917047,0.18607575,ONET02,WEF05,WEF_FutureOfJobs_2025,0.48944535255432126
AI systems,6,0.7658333333333333,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.4886387,0.4886387,0.4780704,0.27827325,0.010568291,WEF07,MCK01,WEF_FutureOfJobs_2025,0.488638699054718
data science,56,0.7365535714285715,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.54266894,0.54266894,0.4617776,0.36473045,0.08089134,ONET02,WEF01,WEF_FutureOfJobs_2025,0.48840204477310184
AI security / governance,1,0.558,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5140347,0.5140347,0.42587867,0.3185683,0.088156015,WEF01,WEF03,WEF_FutureOfJobs_2025,0.48833295404911037
AI supported,1,0.544,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5139494,0.5139494,0.4827441,0.2737329,0.031205297,WEF01,MCK01,WEF_FutureOfJobs_2025,0.4882519245147705
AI algorithms,2,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.4881923,0.4881923,0.43292564,0.22672254,0.05526665,WEF07,MCK01,WEF_FutureOfJobs_2025,0.48819229006767273
cloud platforms,26,0.8050384615384616,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5738459,0.5738459,0.37788534,0.34500697,0.19596058,WEF05,ONET02,WEF_FutureOfJobs_2025,0.48776903450489045
artificial intelligence development,1,0.839,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5133823,0.5133823,0.5043381,0.34789267,0.00904423,WEF01,MCK01,WEF_FutureOfJobs_2025,0.48771319985389705
AI-based tools,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.51326364,0.51326364,0.5041347,0.33142626,0.009128928,WEF01,MCK01,WEF_FutureOfJobs_2025,0.4876004606485367
AWS cloud infrastructure,2,0.681,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5731816,0.5731816,0.2819967,0.2802901,0.29118493,ONET02,ONET06,WEF_FutureOfJobs_2025,0.487204384803772
