skill,total_freq,n_months,slope,p_value,r_squared,durbin_watson,q_value,trend_label
creating,18,5,1.6,0.3017332874608894,0.3404255319148936,3.0169,1.0,Stable
creative,42,6,2.0,0.2980148117312104,0.26315789473684215,2.4592,1.0,Stable
creativity,14,4,0.0,1.0,0.0,,1.0,Stable
curiosity,16,3,0.0,1.0,0.0,,1.0,Stable
curious,29,5,2.3000000000000003,0.44461452215104336,0.20440494590417319,2.7487,1.0,Stable
customer,17,5,0.7337662337662337,0.349181082622353,0.2899146308237217,2.8972,1.0,Stable
dashboards,13,3,0.0,1.0,0.0,,1.0,Stable
data,18,6,0.6857142857142857,0.19700782772450978,0.3740259740259741,2.0317,1.0,Stable
debugging,10,3,0.0,1.0,0.0,,1.0,Stable
define,18,4,0.0,1.0,0.0,,1.0,Stable
delivery,10,4,0.0,1.0,0.0,,1.0,Stable
deploy,11,5,0.9,0.05766888562243733,0.7499999999999999,2.5333,1.0,Stable
design,141,7,7.7857142857142865,0.09330335536342367,0.4613622242932589,2.6709,1.0,Stable
design software,10,5,0.6000000000000001,0.013846832988859007,0.9000000000000001,2.6,1.0,Stable
design solutions,15,5,0.47297297297297297,0.5976303476604018,0.10346283783783783,3.0522,1.0,Stable
designing,132,7,7.57142857142857,0.1913136328741731,0.313329615170106,2.7637,1.0,Stable
detail,45,6,2.1428571428571437,0.15774087081015162,0.42943028914972825,2.7327,1.0,Stable
develop,82,7,5.107142857142857,0.08383093180525367,0.4812888344944454,2.6017,1.0,Stable
develop software,19,6,0.43606557377049193,0.4841110375608808,0.12916864434627046,2.8239,1.0,Stable
develop software solutions,10,4,0.0,1.0,0.0,,1.0,Stable
develop web applications,10,3,0.0,1.0,0.0,,1.0,Stable
developing,79,6,5.085714285714287,0.2613098045642049,0.299233829553638,2.6356,1.0,Stable
development,59,8,1.4264069264069263,0.17335530604880717,0.2845473481162901,1.946,1.0,Stable
documentation,11,3,0.0,1.0,0.0,,1.0,Stable
drive,27,5,1.3837209302325582,0.4992989742461983,0.16368070645892088,2.9455,1.0,Stable
driven,34,6,1.9503105590062113,0.1354757712399758,0.465347656176254,2.5329,1.0,Stable
dynamic,16,4,0.0,1.0,0.0,,1.0,Stable
effectively,23,4,0.0,1.0,0.0,,1.0,Stable
efficiency,10,3,0.0,1.0,0.0,,1.0,Stable
efficient,12,3,0.0,1.0,0.0,,1.0,Stable
engineers,13,4,0.0,1.0,0.0,,1.0,Stable
ensuring,17,4,0.0,1.0,0.0,,1.0,Stable
enthusiastic,15,5,0.930232558139535,0.3295700517395488,0.3100775193798449,3.0902,1.0,Stable
evaluate,11,3,0.0,1.0,0.0,,1.0,Stable
experienced,26,4,0.0,1.0,0.0,,1.0,Stable
eye for detail,11,6,0.26708074534161497,0.04474366042717048,0.6755571793934965,2.7221,1.0,Stable
gather requirements,13,5,0.7674418604651163,0.27434227108721,0.37243502051983574,3.108,1.0,Stable
grow,16,4,0.0,1.0,0.0,,1.0,Stable
guidance,12,4,0.0,1.0,0.0,,1.0,Stable
hands,69,7,3.5819672131147544,0.20494578589716472,0.2979858503961828,2.6844,1.0,Stable
help,10,4,0.0,1.0,0.0,,1.0,Stable
helping,12,5,0.41509433962264153,0.43472627096386174,0.21237384817902594,3.1429,1.0,Stable
identify,35,4,0.0,1.0,0.0,,1.0,Stable
identifying,23,6,0.6249999999999999,0.48316710783644407,0.12968874700718275,2.8745,1.0,Stable
implement,27,5,1.8,0.3723251085254092,0.26732673267326734,2.8059,1.0,Stable
implementation,20,5,0.7000000000000001,0.42222518228891226,0.22272727272727275,1.9626,1.0,Stable
implementing,31,5,2.4000000000000004,0.28245462544649075,0.3627204030226701,2.9055,1.0,Stable
influence,15,4,0.0,1.0,0.0,,1.0,Stable
initiative,12,4,0.0,1.0,0.0,,1.0,Stable
innovation,17,5,0.7,0.6327333918387021,0.08566433566433564,2.9132,1.0,Stable
innovative,18,4,0.0,1.0,0.0,,1.0,Stable
lead,36,5,2.6,0.31391520425179403,0.32688588007736935,2.4874,1.0,Stable
lead the design,13,6,0.4857142857142857,0.37636269794673144,0.19817142857142855,2.3454,1.0,Stable
leadership,26,5,2.0,0.4958143527523119,0.1661129568106312,2.7938,1.0,Stable
leading,11,4,0.0,1.0,0.0,,1.0,Stable
learn,46,5,2.0405405405405403,0.4022123614513183,0.239970110297213,2.6322,1.0,Stable
learn.,10,3,0.0,1.0,0.0,,1.0,Stable
learning,16,5,0.8953488372093024,0.4084612182854069,0.23449612403100775,2.911,1.0,Stable
maintain,22,3,0.0,1.0,0.0,,1.0,Stable
maintaining,22,6,1.657142857142857,0.13563956479191328,0.4650691244239631,2.7889,1.0,Stable
maintenance,14,5,0.7297297297297295,0.3223156991485806,0.3177855274629467,3.1532,1.0,Stable
manage,19,4,0.0,1.0,0.0,,1.0,Stable
managing,29,3,0.0,1.0,0.0,,1.0,Stable
mentoring,17,3,0.0,1.0,0.0,,1.0,Stable
monitor,20,4,0.0,1.0,0.0,,1.0,Stable
monitoring,16,4,0.0,1.0,0.0,,1.0,Stable
motivated,87,5,5.9,0.42362717628123236,0.22155040733197562,2.72,1.0,Stable
organised,11,4,0.0,1.0,0.0,,1.0,Stable
organizational,15,4,0.0,1.0,0.0,,1.0,Stable
organized,10,4,0.0,1.0,0.0,,1.0,Stable
participate in code reviews,13,3,0.0,1.0,0.0,,1.0,Stable
passion,11,4,0.0,1.0,0.0,,1.0,Stable
passionate,48,6,2.742857142857143,0.13651666264296183,0.4635814889336016,3.126,1.0,Stable
performance,26,4,0.0,1.0,0.0,,1.0,Stable
performance.,10,3,0.0,1.0,0.0,,1.0,Stable
plan,15,4,0.0,1.0,0.0,,1.0,Stable
planning,26,4,0.0,1.0,0.0,,1.0,Stable
problem,65,6,4.714285714285715,0.19893195983461806,0.3715286464848639,2.6345,1.0,Stable
problem -solving skills,11,3,0.0,1.0,0.0,,1.0,Stable
procedures,25,3,0.0,1.0,0.0,,1.0,Stable
processes,28,5,2.8000000000000003,0.17842542609827114,0.5051546391752578,2.9318,1.0,Stable
programming,14,6,0.5714285714285715,0.28163827176107475,0.27874564459930323,2.6615,1.0,Stable
prototyping,10,3,0.0,1.0,0.0,,1.0,Stable
provide technical support,11,3,0.0,1.0,0.0,,1.0,Stable
quality,15,4,0.0,1.0,0.0,,1.0,Stable
recommendations,10,4,0.0,1.0,0.0,,1.0,Stable
reliability,17,5,0.6000000000000001,0.4543809600262851,0.19672131147540994,2.866,1.0,Stable
reliable,19,2,0.0,1.0,0.0,,1.0,Stable
reporting,13,3,0.0,1.0,0.0,,1.0,Stable
reports,15,4,0.0,1.0,0.0,,1.0,Stable
research,16,4,0.0,1.0,0.0,,1.0,Stable
resolve issues,18,5,1.4000000000000001,0.2997604980027281,0.34265734265734266,3.15,1.0,Stable
results,17,5,0.6688311688311689,0.24070195922941195,0.4149976529494604,2.5755,1.0,Stable
review,14,4,0.0,1.0,0.0,,1.0,Stable
scalability,13,3,0.0,1.0,0.0,,1.0,Stable
scalable,23,4,0.0,1.0,0.0,,1.0,Stable
seasoned,11,3,0.0,1.0,0.0,,1.0,Stable
secure,29,5,2.0697674418604652,0.32603649127243295,0.3138148250861694,3.1557,1.0,Stable
security,21,4,0.0,1.0,0.0,,1.0,Stable
self,62,7,2.818493150684931,0.15106988476852823,0.3646054484460385,2.433,1.0,Stable
services,25,5,1.5,0.5254480108364139,0.14610389610389607,2.8821,1.0,Stable
shape,12,4,0.0,1.0,0.0,,1.0,Stable
shaping,18,4,0.0,1.0,0.0,,1.0,Stable
skilled,56,4,0.0,1.0,0.0,,1.0,Stable
solutions,13,3,0.0,1.0,0.0,,1.0,Stable
stakeholders,17,4,0.0,1.0,0.0,,1.0,Stable
standards,13,4,0.0,1.0,0.0,,1.0,Stable
strategic,16,4,0.0,1.0,0.0,,1.0,Stable
support,43,5,2.285714285714286,0.29429085579548414,0.348903481600793,2.9356,1.0,Stable
supporting,16,3,0.0,1.0,0.0,,1.0,Stable
systems,23,3,0.0,1.0,0.0,,1.0,Stable
talented,29,5,1.878378378378378,0.2330445020560694,0.42523549608240147,2.7367,1.0,Stable
technical,27,5,1.5810810810810807,0.38574052049982605,0.25480232298414096,2.9453,1.0,Stable
technical expertise,12,5,0.7027027027027026,0.26762836867600204,0.3806306306306307,2.9134,1.0,Stable
technical leadership,10,3,0.0,1.0,0.0,,1.0,Stable
technical skills,10,4,0.0,1.0,0.0,,1.0,Stable
technically,12,3,0.0,1.0,0.0,,1.0,Stable
test,17,4,0.0,1.0,0.0,,1.0,Stable
testing,27,4,0.0,1.0,0.0,,1.0,Stable
tools,26,6,1.2571428571428573,0.3241714964914871,0.23980181668042946,2.2855,1.0,Stable
training,14,4,0.0,1.0,0.0,,1.0,Stable
troubleshooting,16,5,1.0813953488372092,0.3780840440656082,0.2619004360465116,2.9177,1.0,Stable
understand,18,5,0.6000000000000001,0.5622998463708416,0.12328767123287672,2.0875,1.0,Stable
verbal,10,5,0.23584905660377356,0.6075005227321845,0.09827044025157228,3.1166,1.0,Stable
work,17,4,0.0,1.0,0.0,,1.0,Stable
work closely,15,4,0.0,1.0,0.0,,1.0,Stable
working,20,4,0.0,1.0,0.0,,1.0,Stable
write code,11,5,1.1,0.10236780846651092,0.6436170212765958,1.6179,1.0,Stable
