review_id,reviewer_id,human_valid,human_notes
know_2d73df47bbae,default,invalid,
know_eebc48b89bf1,default,valid,
know_7ac87e42d0e2,default,valid,
know_f84a3e55d2a5,default,invalid,
know_fdb0c26e10f7,default,valid,
know_d44b34f5a834,default,valid,
know_8e92d804ea68,default,valid,
know_427f8d943215,default,valid,
know_80625700a6c8,default,valid,
know_caafcb4edcfa,default,valid,
know_08dc41fbb67d,default,valid,
know_d8ebb704d0db,default,invalid,
know_f5c272adce88,default,valid,
know_c1189e681216,default,invalid,
know_7ae0b62e53b9,default,invalid,
know_d2968f373705,default,valid,
know_a50af6cc8f20,default,invalid,
know_e26cc60cd6e0,default,valid,
know_2875ec54afbd,default,valid,
know_f4c45f0f222c,default,valid,
know_517586c0f7b1,default,valid,
know_fb347e3972f2,default,valid,
know_f1eb24184551,default,valid,
know_6ec1bd1ea6a5,default,valid,
know_419f3742e6de,default,invalid,
know_0c3e5c7f3c75,default,valid,
know_737ad5005108,default,invalid,
know_7b34e5ad8d2e,default,valid,
know_0efcf787de33,default,valid,
know_9e453140e527,default,invalid,
know_2ab1f3f89382,default,valid,
know_b4d21d83de29,default,valid,
know_ca6fb71c4c1e,default,valid,
know_a8f2874987b6,default,valid,
know_16a440285f44,default,valid,
know_b9208fa1c113,default,valid,
know_0d3e2f879e6a,default,valid,
know_97818ec23dad,default,valid,
know_3e7ab11d6e7f,default,valid,
know_b1d278ba8485,default,valid,
know_10a5f67eae00,default,valid,
know_206e3718af09,default,valid,
know_7186b611667d,default,valid,
know_ed08bd3d167e,default,valid,
know_d51cd6b455bd,default,valid,
know_7c81afa30ecd,default,valid,
know_323887ee1ef3,default,valid,
know_990b6829e614,default,invalid,
know_60e14efafa51,default,valid,
know_854b40dabdf9,default,valid,
know_7982b09a852b,default,valid,
know_ae551aeefd54,default,valid,
know_c4fda4ce7f99,default,valid,
know_8683dc493330,default,valid,
know_7d8949bcbf85,default,invalid,
know_1182af033a10,default,invalid,It should be animation
know_b68d6bf59ee5,default,valid,
know_40a4346b6f62,default,valid,
know_3385c62e8b55,default,valid,
know_fb01eb7d017d,default,valid,
know_3e56befa7c72,default,valid,
know_4665b9a3201a,default,valid,
know_72b3f43ad844,default,valid,
know_8625e1de7be1,default,valid,
know_7a39b642dccb,default,valid,
know_67c5e29d6e6b,default,valid,
know_b929f79fe3c1,default,valid,
know_d9a3e8541c17,default,valid,
know_2e19534b1ace,default,valid,
know_d3eb707a0789,default,valid,
know_f5c6ba2f3b9c,default,valid,
know_d0bb0be2fea6,default,valid,
know_89f5c2a3ca70,default,invalid,
know_d0f5bf7a6eb6,default,valid,
know_197d816d9b6a,default,valid,
know_fcaeeb6e34b4,default,valid,
know_d3c8871c17a9,default,valid,
know_a5fa5746370b,default,valid,
know_fd29e03a13f2,default,valid,
know_2a4698353e80,default,valid,
know_2a924e7fa846,default,invalid,
know_d1fecd5faa0a,default,invalid,
know_c318b79e38cf,default,valid,
know_c915683f3ec8,default,invalid,
know_e1671797c52e,default,invalid,
know_3e7971b9e12b,default,valid,
know_3fe17314bd34,default,valid,
know_fe2567bc91f7,default,valid,
know_28f4765c8cef,default,invalid,
know_e6212e3987da,default,valid,
know_b74e7c72e7c3,default,valid,
know_5b1a02d446cd,default,valid,
know_7ed7eaee45e3,default,valid,
know_07aac6826fd5,school2@domain.com,valid,
know_27e095631142,school2@domain.com,valid,
know_4690cd84196b,school2@domain.com,valid,
know_a21c218df41f,school2@domain.com,valid,
know_a1234b3161b4,school2@domain.com,valid,
know_51dce3e61450,school2@domain.com,valid,
know_0876123796bf,school2@domain.com,valid,
know_f227ff3208e9,school2@domain.com,valid,
know_bfe7d4f95426,school2@domain.com,valid,
know_761883c0d5c5,school2@domain.com,valid,
know_30136395f018,school2@domain.com,valid,
know_715ecda3bb03,school2@domain.com,valid,
know_4847e034bb0a,school2@domain.com,valid,
know_561194266bb0,school2@domain.com,valid,
know_82fa83342edc,school2@domain.com,valid,
know_092c839869ff,school2@domain.com,valid,
know_9e7a029f3a2b,school2@domain.com,valid,
know_98d3aa8341bd,school2@domain.com,valid,
know_5bdf74912a51,school2@domain.com,valid,
know_657fd3eec662,school2@domain.com,valid,
know_4db2c0d8fe4b,school2@domain.com,valid,
know_5b09e033286d,school2@domain.com,valid,
know_c8257f188608,school2@domain.com,valid,
know_e61ce3062cb7,school2@domain.com,valid,
know_d6c54d98df35,school2@domain.com,valid,
know_205d64ff9b58,school2@domain.com,valid,
know_c64d84ae1a8a,school2@domain.com,valid,
know_6a7f87eec030,school2@domain.com,valid,
know_a10aa4a47bdd,school2@domain.com,valid,
know_2a1c79184198,school2@domain.com,valid,
know_bcd1b6861775,alice,invalid,
know_f02ccf2a3695,alice,valid,
know_bbc3c5fc56f5,alice,valid,
know_35c4025f9220,alice,valid,
know_0c115e260619,alice,invalid,
know_9796cb7b14d1,alice,valid,
know_a6dd20cca571,alice,valid,
know_c364c3654f92,alice,valid,
know_7fca8f4d2133,alice,valid,
know_7b154cb000cb,alice,invalid,"it's a benefit, not a knowledge
"
know_205e612f7e1d,alice,valid,
know_e72f4545eb68,alice,invalid,
know_bc92abb87693,alice,invalid,"it's a benefit, not a knowledge
"
know_7f10d092ca6d,alice,invalid,"Its a benefit, not knowledge
"
know_a54fc01a0e9b,alice,valid,
know_701f17a4c20a,alice,invalid,
know_867556de8d88,alice,valid,
know_ef4031009e7d,alice,valid,
know_2fec392304a5,alice,valid,
know_9c0408c775a2,alice,valid,
know_db8d03155135,alice,valid,
know_cd85be631dff,alice,valid,
know_8d777f385d3d,alice,valid,
know_b7a73d463824,alice,valid,
know_361a86b41dfc,alice,valid,
know_5a6a201af541,alice,valid,
know_496b2d15a7e8,alice,valid,
know_20a3e5ab3e8b,alice,valid,
know_d1a932de3508,alice,valid,
know_1a9ff6b347ce,alice,invalid,
know_0185ffc73ca4,alice,valid,
know_310e60e47874,alice,valid,
know_28427edd80c7,alice,valid,
know_56f2a913e151,alice,valid,
know_fd4c638da5f8,alice,valid,
know_09019213b8c5,alice,valid,
know_9755d719c03e,alice,valid,
know_05c85f84f439,alice,valid,
know_032cb2f7b274,alice,invalid,it's the name of the company
know_b7960df55a70,alice,valid,
know_14f73e69843e,alice,valid,
know_d0dbe915091d,alice,invalid,
know_c306fe7249da,alice,valid,
know_c769c2bd1550,alice,valid,
know_b7190fd13e89,alice,valid,
know_bcc8dd2610c7,alice,valid,
know_2923d664d2c7,alice,valid,
know_e52183449a7a,alice,valid,
know_464b656ace0f,alice,valid,
know_d414a275fffe,alice,valid,
know_1c21d9b19298,alice,invalid,
know_71f9d29bee44,alice,valid,
know_19e15659d540,alice,valid,
know_e5cb116e5902,alice,valid,
know_5f5c4edfb3e0,alice,valid,
know_be5d548f9a0c,alice,valid,
know_1c4a726384df,alice,valid,
know_0dc5303a8837,alice,valid,
know_97f02f6993b9,alice,valid,
know_7c5078264033,default,valid,
know_b3f723b6887c,default,valid,
know_41c2e1f5d438,default,invalid,
know_914293ae65d8,default,invalid,
know_2357726dfdab,default,valid,
know_651a191f8f91,default,valid,
know_d98513b084ec,default,valid,
know_c7eae342f9ed,default,valid,
know_314e7e31158f,default,valid,
know_967ef2eb3463,default,valid,
know_43a92a2578e1,default,valid,
know_1863b7c42350,default,invalid,
know_947c1b790219,default,valid,
know_6fce763ce17c,default,valid,
know_100ef3dfc210,default,valid,
know_912d59cdf1d3,default,invalid,
know_436f33c4e086,default,valid,
know_6549257dada9,default,valid,
know_b105242e556c,default,valid,
know_ef32d8ab613b,default,invalid,
know_ddbb9125f62b,default,valid,
know_21ba2e6df1ef,default,valid,
know_a7f0da159647,default,valid,
know_c0089e657959,default,invalid,
know_c44a84c46412,default,valid,
know_7b9591731274,default,invalid,
know_d5323cb9b82e,default,valid,
know_0280b156c999,default,valid,
know_833229634879,default,valid,
know_c669ce200c81,default,valid,
know_d68695c7318d,default,valid,
know_e011db5cb07b,default,invalid,
know_96cee3ac62de,default,valid,
know_68c9af349896,default,valid,
know_8908209bb3a7,reviewer1,valid,
know_4501d30a4b99,reviewer1,valid,
know_2db1397b1a99,reviewer1,valid,
know_9c84b59ba1e4,reviewer1,valid,
know_ea8a273ce2b9,reviewer1,valid,
know_8778f7fff952,reviewer1,invalid,
know_a5e13387c005,reviewer1,valid,
know_d66636b253cb,reviewer1,invalid,
know_db82206b1d49,reviewer1,invalid,
know_3d98d1794295,reviewer1,valid,
know_a9f1d2e9c351,reviewer1,valid,
know_ed59db503c53,reviewer1,invalid,
know_e9cdba62ea90,reviewer1,valid,
know_c3445ffab912,reviewer1,valid,
know_d010d780a064,reviewer1,valid,
know_8f3c29ef770b,reviewer1,valid,
know_72549524a8bf,reviewer1,valid,
know_463dda7d2c52,reviewer1,valid,
know_0eb9b3af2e4a,reviewer1,invalid,
know_379405af6c22,reviewer1,invalid,
know_acbe0e8815f0,reviewer1,valid,
know_3899b0511afa,reviewer1,valid,
know_d8a13144d5ba,reviewer1,valid,
know_b4628fe4f5f3,reviewer1,valid,
know_98cd28991161,reviewer1,valid,
know_fa343c173679,reviewer1,invalid,
know_d0363921c897,reviewer1,invalid,
know_4a8417e4fa56,reviewer1,valid,
know_d35b341d6eed,reviewer1,valid,
know_94e381bf2889,reviewer1,valid,
know_426d2a613665,reviewer1,invalid,
know_3c3ae93787f6,reviewer1,valid,
know_eeeb91c4e68f,reviewer1,valid,
know_39ef0230e3ff,reviewer1,valid,
know_fbbaea29c262,reviewer1,invalid,
know_9643022141ab,reviewer1,valid,
know_9828c60f0cff,reviewer1,valid,
know_886ce2778aab,reviewer1,invalid,
know_55be393af90f,reviewer1,valid,
know_1e1ab7995dc9,reviewer1,valid,
know_cdf9eb8e0ef7,reviewer1,invalid,
know_432d782b6615,reviewer1,valid,
know_e1fcaa32ae29,reviewer1,valid,
know_97ec6d682afc,reviewer1,valid,
know_7f1db7b9231b,reviewer1,valid,
know_89e8c29f984d,reviewer1,valid,
know_afed06ac8ea3,reviewer1,valid,
know_9cfa7aefcc61,reviewer1,valid,
know_2e438c6f4e12,reviewer1,valid,
know_1eb5f55d4b6d,reviewer1,valid,
know_8b929dc293ef,reviewer1,invalid,
know_aeb41c0901f6,reviewer1,valid,
know_0fd9e0100660,reviewer1,invalid,
know_feecd43a26a6,reviewer1,valid,
know_b31df235e8ae,reviewer1,valid,
know_543aecf35bbc,reviewer1,valid,
know_2f862aa0dbd7,reviewer1,valid,
know_3b671c883959,reviewer1,invalid,
know_ac65c9b93424,reviewer1,valid,
know_6a5f79467b7e,reviewer1,valid,
know_a53ba23d9204,reviewer1,invalid,
know_dd916a2481a6,reviewer1,invalid,
know_f92e622a9e43,reviewer1,valid,
know_0114ad06d728,reviewer1,valid,
know_8940a1f1c2e6,reviewer1,valid,
know_69f9107dec7b,reviewer1,valid,
know_88d2d59b3f34,reviewer1,valid,
know_3ab7958c66cb,reviewer1,valid,
know_078710aec914,reviewer1,valid,
know_1e89f4723995,reviewer1,invalid,
know_c06f2b021d7d,reviewer1,valid,
know_0fb0c69bbf30,reviewer1,valid,
know_b5085ad33a3c,reviewer1,valid,
know_76ad2414e68e,reviewer1,valid,
know_d17f3355a7e7,reviewer1,invalid,
know_747577b7b0e5,reviewer1,valid,
know_0c1534f11607,reviewer1,valid,
know_63a156b784c8,reviewer1,valid,
know_0a99c7f2f2a0,reviewer1,valid,
know_48e400835855,reviewer1,valid,
know_eccaad13d49e,reviewer1,invalid,
know_dd499a46bb9a,reviewer1,valid,
know_e96a547c868b,reviewer1,valid,
know_d1c518457519,reviewer1,valid,
know_b9c6c22e8ce6,reviewer1,valid,
know_909d7be80e0f,reviewer1,valid,
know_cca8fc743f62,reviewer1,valid,
know_6ab4dbec47b0,reviewer1,valid,
know_d398e5ea2ead,reviewer1,valid,
know_af8468d7c262,reviewer1,invalid,
know_5c80fc950eee,reviewer1,valid,
know_a629952deb18,reviewer1,valid,
know_01a442ffa9b0,reviewer1,valid,
know_a196369abd52,reviewer1,valid,
know_ea18dda30717,reviewer1,valid,
know_364f4960476f,reviewer1,valid,
know_94f2b5c05590,reviewer1,valid,
know_99168a2997b0,reviewer1,valid,
know_fd8b079e0803,reviewer1,valid,
know_569248c23ed5,reviewer1,valid,
know_90266d526fd9,reviewer1,valid,
know_c3ee6c5818df,reviewer1,valid,
know_73fb73b7dba7,reviewer1,valid,
know_e0165a7d6b81,reviewer1,valid,
