skill,total_freq,n_months,slope,p_value,r_squared,q_value,trend_label,run_id
develop software,47,7,1.1415662650602414,0.3087495122372814,0.2041782040858101,1.0,Stable,results_run2
developing,33,6,1.714285714285714,0.2642337104006996,0.2962048750385683,1.0,Stable,results_run2
development,26,4,1.0714285714285714,0.6087696017820241,0.1530612244897959,1.0,Stable,results_run2
drive,11,4,0.5,0.6913933000758161,0.0952380952380952,1.0,Stable,results_run2
driven,17,3,2.5,0.6258833721298324,0.3073770491803277,1.0,Stable,results_run2
effectively,17,3,0.0,1.0,0.0,1.0,Stable,results_run2
ensure,12,5,0.5,0.3677007281581272,0.2717391304347826,1.0,Stable,results_run2
execution,11,4,0.7,0.7418011102528388,0.0666666666666666,1.0,Stable,results_run2
experienced,22,4,2.2,0.4600312369588024,0.2915662650602409,1.0,Stable,results_run2
gather requirements,10,4,0.4615384615384615,0.5763407271318384,0.1794871794871795,1.0,Stable,results_run2
grow,10,4,0.8571428571428571,0.3827866001516323,0.380952380952381,1.0,Stable,results_run2
hands,34,6,1.7142857142857144,0.3782296628728589,0.1967930029154519,1.0,Stable,results_run2
identify,18,6,0.6000000000000001,0.3330688540016024,0.2322580645161291,1.0,Stable,results_run2
implement,17,3,-0.5,0.9559640559172248,0.0047770700636942,1.0,Stable,results_run2
implementing,15,4,1.3,0.654406844721622,0.119434628975265,1.0,Stable,results_run2
innovative,12,4,0.4337349397590361,0.6611605248259651,0.1148121899362154,1.0,Stable,results_run2
lead,22,3,-0.5,0.9353608261728492,0.0102739726027397,1.0,Stable,results_run2
lead the design,16,4,0.5,0.7697169067640809,0.053030303030303,1.0,Stable,results_run2
leadership,13,4,0.9,0.6370849726545197,0.1317073170731707,1.0,Stable,results_run2
learn,23,4,2.5,0.2923876007429911,0.5007153075822602,1.0,Stable,results_run2
learning,11,3,1.0,0.5456289483429901,0.4285714285714285,1.0,Stable,results_run2
maintain,15,3,2.785714285714286,0.2420754366473533,0.8622448979591837,1.0,Stable,results_run2
manage projects,13,4,0.9,0.7418011102528388,0.0666666666666666,1.0,Stable,results_run2
managing,14,2,0.0,1.0,0.0,1.0,Stable,results_run2
motivated,41,6,1.5687500000000003,0.2828282456568022,0.2775863588297499,1.0,Stable,results_run2
passionate,19,6,0.5312500000000003,0.4392484530936113,0.1554432013769364,1.0,Stable,results_run2
performance,10,3,0.9285714285714284,0.6188153433833175,0.3176691729323307,1.0,Stable,results_run2
planning,16,4,0.8,0.7830695421813438,0.0470588235294117,1.0,Stable,results_run2
problem,43,3,0.5,0.9813162510190364,0.0008610792192881,1.0,Stable,results_run2
procedures,12,4,0.4827586206896552,0.4693313694947676,0.2816091954022988,1.0,Stable,results_run2
processes,18,5,1.2692307692307694,0.2016722822013702,0.4695584684373922,1.0,Stable,results_run2
provide technical support,10,2,0.0,1.0,0.0,1.0,Stable,results_run2
reliable,11,4,0.8,0.4914866190690174,0.2585858585858585,1.0,Stable,results_run2
research,10,2,0.0,1.0,0.0,1.0,Stable,results_run2
scalability,10,5,0.1351351351351351,0.7672983912759814,0.0337837837837837,1.0,Stable,results_run2
secure,13,5,0.2823834196891192,0.4967142750495655,0.1654827566995375,1.0,Stable,results_run2
self,20,4,2.0,0.2330350111526295,0.588235294117647,1.0,Stable,results_run2
services,12,4,0.6779661016949152,0.6241769859985856,0.1412429378531073,1.0,Stable,results_run2
shape,11,3,0.5,0.9156767836780562,0.0174418604651162,1.0,Stable,results_run2
skilled,32,5,1.9,0.4071479446178852,0.2356396866840731,1.0,Stable,results_run2
strategic,14,4,0.2,0.91695452014626,0.0068965517241379,1.0,Stable,results_run2
support,21,4,1.9,0.3050588918385177,0.482943143812709,1.0,Stable,results_run2
supporting,10,3,1.5,0.4877542916445993,0.5192307692307693,1.0,Stable,results_run2
systems,10,4,0.8,0.1999999999999999,0.6400000000000001,1.0,Stable,results_run2
talented,14,2,0.0,1.0,0.0,1.0,Stable,results_run2
technical,14,3,0.5,0.9156767836780562,0.0174418604651162,1.0,Stable,results_run2
test,10,2,0.0,1.0,0.0,1.0,Stable,results_run2
test software,10,6,0.1249999999999999,0.3754288147545295,0.1988636363636363,1.0,Stable,results_run2
testing,14,4,0.8,0.6678180805850402,0.1103448275862069,1.0,Stable,results_run2
tools,16,3,0.8870967741935484,0.7182406274347295,0.1834222653407713,1.0,Stable,results_run2
troubleshooting,10,3,0.0,1.0,0.0,1.0,Stable,results_run2
working,10,5,0.4,0.3730213623727795,0.2666666666666667,1.0,Stable,results_run2
