knowledge,freq,mean_confidence,confidence_score,job_id,source,best_future_domain,trend_label,trend_score,similarity,future_weight,job_text,review_id,human_valid,human_notes,reviewer_id
testing-library,1,0.75,0.75,in-0a5a395a96ddcbe9,LLM,Routine Maintenance Coding,Decline,-0.3,0.11386237,-0.0341587118804454,"Experience in back -end technologies, like .NET Core/C #, is a welcome bonus. Testing & Quality Assurance: Write and implement unit, integration, and end -to -end tests (e.g., using Jest, Enzyme, or testing -library) to ensure code quality, application stability, and reliability. Deployment & Maintenance: Manage the mobile application release lifecycle, including store submissions (Apple App Store and Google Play Store).",know_205e612f7e1d,,,
office,1,0.75,0.75,in-b512302fe3907f2d,LLM,Routine Data Entry & Clerical,Decline,-0.6,0.35575306,-0.2134518384933471,"We provide our services across the core sectors (office, industrial, retail and hotel) as well as many specialised property types.",know_e72f4545eb68,,,
Critical Illness Insurance,1,0.75,0.75,in-277cf9b06c74153d,LLM,Routine Maintenance Coding,Decline,-0.3,0.18117268,-0.0543518051505088,"From your health to your financial wellness, there are several benefits for you and your family when joining Signature Aviation. Our Benefits: Medical/prescription drug, dental, and vision Insurance Health Savings Account Flexible Spending Accounts Life Insurance Disability Insurance 401(k) Critical Illness, Hospital Indemnity and Accident Insurance Identity Theft and Legal Services Paid time off Paid Maternity Leave Tuition reimbursement Training and Development Employee Assistance Program (EAP",know_bc92abb87693,,,
Disability Benefits,1,0.75,0.75,in-beb1a85439fc3710,LLM,Legacy Web Development,Decline,-0.4,0.14779268,-0.0591170728206634,"In addition to your salary, MLB believes in providing a competitive compensation and benefits package for its employees. Top MLB Perks & Benefits: Competitive Benefits Package Company 401K Contribution Paid Time Off and Holidays Paid Parental Leave Access to Free Tickets to Baseball Games & MLB.TV Discounts at MLB Store | MLBShop.com Employee Assistance Programs (EAP) Onsite/Online Training & Development Programs Tuition Reimbursement Disability Benefits (short term and long term) Life and Accid",know_7f10d092ca6d,,,
public health,1,0.75,0.75,in-dcd8dd1044f2926f,LLM,Routine Data Entry & Clerical,Decline,-0.6,0.1246019,-0.0747611403465271,"The Stormwater Specialist supports a proactive and integrated approach to managing stormwater systems to protect public health, infrastructure assets, and the environment. collaboration with internal departments, external agencies, and the public to implement best practices in stormwater management and watershed planning.",know_a54fc01a0e9b,,,
ventilation and,1,0.462,0.462,in-0cb1ebadc05ba17e,BERT (standalone),Routine Maintenance Coding,Decline,-0.3,0.16627997,-0.0498839914798736,"This position is responsible for overseeing the daily operation and regulation of key building systems and equipment, including heating, ventilation and air conditioning (HVAC), steam and hydronic heating, computerized automation systems and other critical infrastructure.",know_701f17a4c20a,,,
MS Office,1,0.75,0.75,in-0b1202bf3556f0ec,LLM,Routine Data Entry & Clerical,Decline,-0.6,0.32255772,-0.193534630537033,"Manage procurement and tendering of design -related services. What you'll bring: Design & Technical Expertise: Strong analytical, design, technical and commercial skills, with excellent attention to detail and understanding of project constraints. Leadership Experience: Proven ability to lead, motivate, inspire and manage staff to achieve demanding objectives. Stakeholder & Communication Skills: Strong collaboration, negotiation, influencing, presentation, and networking capabilities. Project Co",know_867556de8d88,,,
garment details,1,0.703,0.703,in-d7cf0de1e28b13bf,BERT+LLM,Routine Data Entry & Clerical,Decline,-0.6,0.2189649,-0.1313789427280426,"The ideal candidate combines deep technical design expertise with a strong sense of graphic application, understanding how to bring brand storytelling to life through trims, prints, and garment details.",know_ef4031009e7d,,,
PHP,1,0.75,0.75,in-f9819a980c1976e8,LLM,Legacy Web Development,Decline,-0.4,0.2784127,-0.1113650798797607,Brim’s robust platform and feature -rich products deliver a broad suite of payment solutions for Businesses and Consumers as well as comprehensive Enterprise Workflows for issuers. Job Summary --------------- We are looking for a Junior Backend Engineer (PHP and Python) who is eager to learn and grow in a fast -paced development environment.,know_2fec392304a5,,,
Compliance,2,0.7170000000000001,0.7170000000000001,in-a61c1082390cb772,BERT+LLM,Routine Data Entry & Clerical,Decline,-0.6,0.33387962,-0.2003277719020843,"Operational Coordination & Compliance Liaise with Legal, Compliance, Finance, and Tech to support deal execution, documentation review, and internal approvals. Draft and manage legal documents such as SAFTs, ensuring review cycles and audit readiness. Identify process gaps in BD ops and recommend scalable, audit -aligned improvements. 4 .",know_9c0408c775a2,,,
"heating,",1,0.542,0.542,in-0cb1ebadc05ba17e,BERT (standalone),Routine Maintenance Coding,Decline,-0.3,0.20094396,-0.060283188521862,"This position is responsible for overseeing the daily operation and regulation of key building systems and equipment, including heating, ventilation and air conditioning (HVAC), steam and hydronic heating, computerized automation systems and other critical infrastructure.",know_db8d03155135,,,
PIC,1,0.434,0.434,in-6ee798b130cf3caa,BERT (standalone),Routine Maintenance Coding,Decline,-0.3,0.11867305,-0.0356019146740436,Experienced in legacy system migration and/or been main PIC for CRs 3 .,know_cd85be631dff,,,
data,4,0.64375,0.64375,in-41a6dff1f5b57c84,LLM,Routine Data Entry & Clerical,Decline,-0.6,0.36483055,-0.218898332118988,"Our expertise spans the entire customer journey, offering deep insights in communications, commerce, consultancy, CRM, CX, data, production, and technology.",know_8d777f385d3d,,,
Visualforce,1,0.755,0.755,in-3a39cfdef1dc8c0a,BERT+LLM,Legacy Web Development,Decline,-0.4,0.29006165,-0.1160246610641479,"JS, or JavaScript. Experience with Salesforce DX, SFDX CLI, CI/CD tooling (GitHub/Bitbucket, Splunk/Sumologic) and test automation frameworks. Knowledge and understanding building APEX code/classes, triggers, integrations, Visualforce/ Lightning UI components. Experience in design and implementation of real -time and batch integration with Salesforce and other systems using REST/Bulk APIs. Experience with Agile development environments, secure coding practices and security implementations. Sales",know_b7a73d463824,,,
Jest,1,0.847,0.847,in-0a5a395a96ddcbe9,BERT+LLM,Legacy Web Development,Decline,-0.4,0.058786336,-0.0235145345330238,"Experience in back -end technologies, like .NET Core/C #, is a welcome bonus. Testing & Quality Assurance: Write and implement unit, integration, and end -to -end tests (e.g., using Jest, Enzyme, or testing -library) to ensure code quality, application stability, and reliability. Deployment & Maintenance: Manage the mobile application release lifecycle, including store submissions (Apple App Store and Google Play Store).",know_361a86b41dfc,,,
accounting duties,1,0.75,0.75,in-a3fccd73c46d1dc9,LLM,Routine Data Entry & Clerical,Decline,-0.6,0.39152804,-0.2349168241024017,"We move fast, collaborate closely, and deliver high -impact financial insights and controls across the business. What you’ll do Reporting to the VP of Finance & Strategic Governance, you will be responsible for a wide range of accounting duties that support day -to -day operations and the month -end close process.",know_5a6a201af541,,,
Mastercard’s guidelines,1,0.75,0.75,in-772237960589a143,LLM,Routine Data Entry & Clerical,Decline,-0.6,0.11881908,-0.0712914481759071,"Ability to train/guide more junior resources.Corporate Security Responsibility All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected that every person working for, or on behalf of, Mastercard is responsible for information security and must: Abide by Mastercard’s security policies and practices; Ensure the confidentiality and integrity of the information being accessed; Report any suspected i",know_496b2d15a7e8,,,
credit modelling,1,0.829,0.829,in-49c600e867b28fcc,BERT+LLM,Routine Data Entry & Clerical,Decline,-0.6,0.19239143,-0.115434855222702,"You’ll be part of a team that provides quantitative services in valuation of financial instruments, private equity investments and credit modelling for financial institutions, and the treasury services that leverage analytics, automation, and innovation to build a stronger and more efficient corporate treasury function for our client.",know_20a3e5ab3e8b,,,
regulatory requirements,1,0.75,0.75,in-80759602520c230d,LLM,Routine Data Entry & Clerical,Decline,-0.6,0.2104485,-0.1262691020965576,"Review and authorize work done by direct reports. Team Leadership and Development: + Oversee programs for technical competency and quality and monitor technical competency of teams. + Ensure team member adherence to company processes, generally accepted engineering and design practices, regulatory requirements, and customer specifications. + Support global standardization and use of drawing and document templates. + Assure the understanding of technical knowledge, legal requirements, and custome",know_d1a932de3508,,,
Unemployment Trust Fund,1,0.75,0.75,in-7c15b0ac5a9e6e4d,LLM,Routine Data Entry & Clerical,Decline,-0.6,0.11402935,-0.0684176087379455,The Unemployment Trust Fund represents a cornerstone of America's economic security infrastructure.,know_1a9ff6b347ce,,,
"stored procedures,",1,0.558,0.558,in-276ee08934e98ebb,BERT (standalone),Routine Data Entry & Clerical,Decline,-0.6,0.38694882,-0.2321692943572998,"Required Skills & Experience Proficiency in SQL and experience with modern data transformation tools (e.g., dbt, Coalesce). Experience with cloud platforms like Snowflake, BigQuery, Fabric, or Databricks. Advanced SQL skills (5 + years), including expertise in complex queries, stored procedures, and managing views. Strong understanding of ETL/ELT processes. Ability to build compelling data visualizations and dashboards using Tableau, Power BI, or Looker. Excellent communication skills for explai",know_0185ffc73ca4,,,
staff management,1,0.75,0.75,in-752b949d027be167,LLM,Routine Data Entry & Clerical,Decline,-0.6,0.32593364,-0.1955601811408996,"Who We Are: Barber -OS is an all -in -one platform for barbershops—anchored by online booking & scheduling—with additional tools to help shops run and grow (e.g., client marketing, staff management, point of sale, payments, inventory, analytics).",know_310e60e47874,,,
ancillary equipment,1,0.75,0.75,in-12dd56b9ad69fd1c,LLM,Routine Data Entry & Clerical,Decline,-0.6,0.23988344,-0.1439300626516342,The assembling of large steel fabrications and associated ancillary equipment including hydraulic equipment i.e. cylinders and operation systems. About The Role What skills and qualifications do I need? HNC qualification or equivalent experience is preferred.,know_28427edd80c7,,,
Amazon EventBridge,1,0.75,0.75,in-8cb2b3de05fe17bb,LLM,Legacy Web Development,Decline,-0.4,0.13631456,-0.0545258224010467,"While mastery across all phases isn’t a requirement, you will have the opportunity to experience the full lifecycle, polish your skills as a consultant who delivers real value, and most importantly, share your perspective as a technical specialist to ensure the proposed solution is technically awesome, fit -for -purpose and value -adding. Qualifications ------------------ To be successful in this role, you will need to demonstrate the following: Passionate about how customers can use technology ",know_56f2a913e151,,,
HR,1,0.81,0.81,in-4dd4be4468b8f8b5,BERT+LLM,Routine Data Entry & Clerical,Decline,-0.6,0.25812554,-0.1548753261566162,"KEY RESPONSIBILITIES Collect, validate, analyse, consolidate and maintain HR, Sustainability, contract and supplier performance data. Produce dashboard reports from contract delivery data to assist contract compliance, budget and strategic reviews and trends. Build, update and maintain Power BI dashboards and reports for internal and external use. Support the production of monthly and quarterly performance reports, including HR KPIs, engagement, turnover, absence, and ESG metrics. Identify and i",know_fd4c638da5f8,,,
Community-Based Care,1,0.75,0.75,in-f212c6ad771f68f6,LLM,Routine Maintenance Coding,Decline,-0.3,0.24020687,-0.0720620602369308,"Reviews and evaluates new or improved business and management practices. Coordinates development and ongoing maintenance and evaluation of joint protocols and other SSCC/CPS procedures. Reviews, develops and maintains Standard Operating Procedures for Community -Based Care.",know_09019213b8c5,,,
service quality,1,0.75,0.75,in-cf7f60dee735734d,LLM,Routine Maintenance Coding,Decline,-0.3,0.23747104,-0.0712413132190704,"We are dedicated to making Google experiences centered around the user.Responsibilities -------------------- Write product or system development code. Participate in, or lead design reviews with peers and stakeholders to decide among available technologies. Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency). Contribute to existing documentation or educational content and adapt c",know_9755d719c03e,,,
legal requirements,1,0.75,0.75,in-80759602520c230d,LLM,Routine Data Entry & Clerical,Decline,-0.6,0.21072207,-0.1264332443475723,"Review and authorize work done by direct reports. Team Leadership and Development: + Oversee programs for technical competency and quality and monitor technical competency of teams. + Ensure team member adherence to company processes, generally accepted engineering and design practices, regulatory requirements, and customer specifications. + Support global standardization and use of drawing and document templates. + Assure the understanding of technical knowledge, legal requirements, and custome",know_05c85f84f439,,,
Ignition,1,0.75,0.75,in-42b55a983bf16945,LLM,Routine Data Entry & Clerical,Decline,-0.6,0.14045662,-0.0842739701271057,"Ignition, FactoryTalkView) Experience implementing real -time solutions Familiarity with IT/Networking and database application Experience with BHS system operations Ability to read electrical schematics Other Job Information (if applicable): We appreciate your interest in joining our team. Please note that: (a) all applicants must be legally entitled to work in the country where the position is located; and (b) some roles require eligibility for government security clearances or site access, wh",know_032cb2f7b274,,,
"customer support,",1,0.324,0.324,in-8e8358720b2049a4,BERT (standalone),Routine Maintenance Coding,Decline,-0.3,0.25858387,-0.0775751620531082,"This role demands strong functional and technical knowledge of various IBP modules, including Demand, Supply, Inventory, and Sales and Operations Planning (SOP), plus experience working in SAP ECC/S4 HANA. BRIEF DESCRIPTION The primary responsibilities of this role are core customer support, innovation and proactive activities and participation in a continuous learning culture.",know_b7960df55a70,,,
-frontends,1,0.55,0.55,in-cd90ab257a61bacf,BERT (standalone),Legacy Web Development,Decline,-0.4,0.37370336,-0.1494813442230224,"Bonus Experience (Added Advantage): · Experience with low -code platforms (OutSystems, Mendix, Appian). · Familiarity with micro -frontends and modular frontend architectures. · Experience working with edge computing (Cloudflare Workers, Lambda@Edge).",know_14f73e69843e,,,
live,2,0.4235,0.4235,in-00312d85ec873f86,BERT (standalone),Routine Maintenance Coding,Decline,-0.3,0.17934017,-0.0538020506501197,"This position is ideal for someone who thrives in a creative, fast -moving environment and is experienced with professional lighting, audio, camera systems, live -streaming setups, and post -production workflows.",know_d0dbe915091d,,,
Elective Surgery Reform Unit,1,0.75,0.75,in-fafd0a966425224e,LLM,Process Automation & RPA,Moderate_Growth,0.5,0.14943142,0.0747157111763954,"Other surgical specialties include Neurosurgery, Orthopaedics, Plastics, Vascular, Thoracics, Orology, ENT, Paediatrics, General Surgery, HPB, UGI, Endoscopy and Radiology Services. About the role Following the successful implementation of the Elective Surgery Reform Unit, Austin Health is continuing to build on these improvement and reform initiatives with the Patient Support Unit.",know_c306fe7249da,,,
marketing,1,0.628,0.628,in-eb1ef332dc16dd51,BERT+LLM,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.34405863,0.2408410429954528,"The items are light (less than 2kg). 50% marketing, strategy & automation: including copywriting for store products, sourcing/procurement, prompting AI to generate product videos There are no entry requirements in terms of which year or which school you are in, however, you do not need to be highly technical in skill (if you are a final year uni student for computer science or marketing, you might not enjoy this internship much). Working location: For the operations scope, you will come into our",know_c769c2bd1550,,,
product strategy,1,0.75,0.75,in-de49a66c154cc2bf,LLM,UX/UI & Digital Design,Moderate_Growth,0.55,0.20140445,0.1107724487781524,"You will collaborate closely with engineering managers, product managers, and senior engineers across all client platforms, providing technical leadership and contributing to our product strategy.",know_b7190fd13e89,,,
mobile app,1,0.75,0.75,in-965f58ca3e59d3f2,LLM,UX/UI & Digital Design,Moderate_Growth,0.55,0.23830783,0.1310693085193634,"Our diverse team shares an innate curiosity for the world, a willingness to see things differently, and a passion for getting things done.",know_bcc8dd2610c7,,,
overhead electrical distribution systems,1,0.75,0.75,in-a8c9ec23b2864f1d,LLM,Database & Systems Administration,Moderate_Growth,0.5,0.1983879,0.0991939529776573,"Burlington Hydro – Powering the Careers of Tomorrow Are you looking for a meaningful career with an organization that values teamwork, sustainability, and community impact?",know_2923d664d2c7,,,
mobile development,1,0.75,0.75,in-19838d8cc6709af7,LLM,UX/UI & Digital Design,Moderate_Growth,0.55,0.41408485,0.2277466684579849,"You will help scale, enable, and drive online & mobile development excellence as our team continues to deliver innovative solutions to Scotia customers. Is this role right for you?",know_e52183449a7a,,,
accessories,1,0.75,0.75,in-9816de77297ab668,LLM,UX/UI & Digital Design,Moderate_Growth,0.55,0.2549443,0.1402193620800972,"You’ll design original graphic artwork for our apparel and accessories, bringing our brand identity, product pillars, and seasonal stories to life.",know_464b656ace0f,,,
Civil Engineering,1,0.55,0.55,in-d7f955d1258c78ff,BERT (standalone),Software Development & Engineering,Moderate_Growth,0.65,0.35736513,0.232287335395813,"This role will see you working as part of our highly experienced team where you will apply your prior engineering and analytical technical skills to produce engineering solutions for a range of AECOM’s Transport and Civil Infrastructure projects, including Cairns Ring Road and other large -scale State Government projects. Be part of a close -knit Far North Queensland office while connected to a national network of engineers and designers. Opportunity to apply prior Civil Engineering project expe",know_d414a275fffe,,,
micro,1,0.56,0.56,in-cd90ab257a61bacf,BERT (standalone),UX/UI & Digital Design,Moderate_Growth,0.55,0.22885095,0.1258680202066898,"Bonus Experience (Added Advantage): · Experience with low -code platforms (OutSystems, Mendix, Appian). · Familiarity with micro -frontends and modular frontend architectures. · Experience working with edge computing (Cloudflare Workers, Lambda@Edge).",know_1c21d9b19298,,,
procurement transformation,1,0.75,0.75,in-a93e82d899a04305,LLM,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.22692253,0.1588457688689231,"We partner with organisations to deliver tailored ICT solutions that enhance operational efficiency, governance, and service delivery. About the Role – ICT Business Analyst We are seeking an experienced ICT Business Analyst to support a major procurement transformation initiative.",know_71f9d29bee44,,,
performance-first messaging,1,0.75,0.75,in-ad97db3183f887b0,LLM,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.22468978,0.0898759126663208,"Collaborate closely with performance marketing to turn content leads CRM nurturing conversions. Write persuasive, conversion -led copy for all stages of the funnel, optimizing for high CTRs and low cost -per -lead. Develop high -performing digital ad content (Meta, TikTok, Google, LinkedIn), including scripts, short -form ads, and performance -first messaging. Conceptualize and produce webinar content—from topic ideation to final decks—that educates, builds trust, and converts.",know_19e15659d540,,,
Wealth Manager (WM),1,0.75,0.75,in-5f22cc9f13b5d3b9,LLM,Database & Systems Administration,Moderate_Growth,0.5,0.28590488,0.1429524421691894,"Job Profile Summary: Reporting to Lead, Manpower Development, this role supports the Lead in driving recruitment and manpower growth through conceptualizing innovative schemes and initiatives that will aid the agency leaders in recruiting and retaining talented individuals as Financial Consultants (FC) and Wealth Manager (WM).",know_e5cb116e5902,,,
"Product Management,",1,0.492,0.492,in-5906aa7cd05b4ccd,BERT (standalone),Database & Systems Administration,Moderate_Growth,0.5,0.36307076,0.1815353780984878,"We are an equal opportunity employer, committed to fostering an inclusive and diverse workplace. Required Skills: Agricultural Policy, Automatic Identification, Communication, Consumer Complaint, Customer Collaborations, Direct Marketing, Market Development, Marketing Campaign Development, Marketing Communications (MarCom), Marketing Initiatives, Marketing Management, Pricing Strategies, Product Management, Segmentation Strategy, Technology Platforms, Veterinary TechnologyPreferred Skills: Curre",know_5f5c4edfb3e0,,,
enterprise identity systems,1,0.75,0.75,in-78cf01cb605e5896,LLM,Database & Systems Administration,Moderate_Growth,0.5,0.2891405,0.1445702463388443,"Deploy and manage Delinea/Thycotic PAM solutions in secure networks Integrate with enterprise identity systems (e.g., AD, Azure AD) Work on high -impact national security programs Company Description Showtime Consulting is a leading provider of Shielded Cloud Solutions.",know_be5d548f9a0c,,,
vendor circuits,1,0.75,0.75,in-58b7ff6d483958d2,LLM,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.2578856,0.1805199235677719,This position would work with team members to manage telecommunications technologies and vendor circuits.,know_1c4a726384df,,,
Textile market,1,0.75,0.75,in-bb0e1f0ee516b03f,LLM,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.25132367,0.1759265691041946,We hold the leading position in Europe’s high -quality contemporary textiles market.,know_0dc5303a8837,,,
SharePoint,2,0.654,0.654,in-07a9c2a299829676,BERT (standalone),Database & Systems Administration,Moderate_Growth,0.5,0.40461415,0.2023070752620697,"Expected work includes : Design & Build: Collaborate with stakeholders to gather requirements, define user stories, and map out conversational flows. Develop: Use Microsoft Copilot Studio to build, configure, and refine chatbot topics, entities, and logic. Integrate: Leverage Power Automate (Flows) to connect the Bot to backend systems, databases, and APIs (e.g., retrieving user data, creating support tickets, looking up information). Leverage AI: Implement and fine -tune generative AI capabilit",know_97f02f6993b9,,,
Paid Search campaigns,1,0.75,0.75,in-b7a2468228c54cc1,LLM,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.20516084,0.1436125889420509,"You will be responsible for the day -to -day management of your Paid Search campaigns to produce work to the highest of standards, in line with agency values.",know_9e925abe252f,,,
Clinical Development,1,0.822,0.822,in-7c03bbd4f2e27c3a,BERT+LLM,Software Development & Engineering,Moderate_Growth,0.65,0.23067497,0.149938728660345,"Real World Data Scientists who are successful in this role will work on challenging problems, using innovative approaches to accelerate the delivery of Real World Insights and Evidence for key internal and external stakeholders with an emphasis on Clinical Development, Regulatory, and Patient Safety applications.",know_73b702c8dd5c,,,
Surface de vente,1,0.75,0.75,in-51094d1568950e3c,LLM,UX/UI & Digital Design,Moderate_Growth,0.55,0.09705519,0.0533803541213274,"Dans ce rôle, vous jouerez un rôle crucial dans le maintien de l'inventaire, en soutenant la surface de vente et en aidant à créer une expérience de magasinage sans heurts pour nos clients.",know_b76446c9ce74,,,
in,1,0.549,0.549,in-80aa4c8b345e347c,BERT (standalone),Database & Systems Administration,Moderate_Growth,0.5,0.2105395,0.1052697524428367,"Test, Debug & Document Debug firmware using lab equipment and tools such as oscilloscopes, logic analyzers, multimeters, in -circuit emulators and protocol sniffers. Create and maintain detailed technical and customer -facing documentation. Participate in detailed code reviews to ensure adherence to Aarcomm’s coding and quality standards.",know_13b5bfe96f3e,,,
live action shots,1,0.75,0.75,in-b5916116bf53125e,LLM,Game Development & Interactive Media,Moderate_Growth,0.6,0.27314797,0.1638887822628021,"This role will work with our creative leads to create rich animations to coincide with client videos, both independently and integrated with live action shots.",know_ecdddf89c863,,,
Communication,1,0.75,0.75,in-0b1202bf3556f0ec,LLM,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.39199156,0.1567966222763061,"Manage procurement and tendering of design -related services. What you'll bring: Design & Technical Expertise: Strong analytical, design, technical and commercial skills, with excellent attention to detail and understanding of project constraints. Leadership Experience: Proven ability to lead, motivate, inspire and manage staff to achieve demanding objectives. Stakeholder & Communication Skills: Strong collaboration, negotiation, influencing, presentation, and networking capabilities. Project Co",know_07a3dd247ad6,,,
modern automation tooling,1,0.843,0.843,in-82c62095c56a09f5,BERT+LLM,Process Automation & RPA,Moderate_Growth,0.5,0.55308115,0.2765405774116516,"This role requires strong hands -on experience with the Elastic Stack, GCP, and modern automation tooling.",know_0b2b3bd36668,,,
reporting tools,1,0.75,0.75,in-51f52aa9e15e8653,LLM,Database & Systems Administration,Moderate_Growth,0.5,0.2956057,0.1478028446435928,"Familiarity with data visualization / reporting tools (ex: Looker, Tableau). + Comfort working cross -functionally and communicating with both technical and non -technical stakeholders. + Self -starter mindset with a bias toward execution and accountability. + Experience with IP, royalty -based, or content -driven businesses is a plus.",know_1ff2dacccd0e,,,
retail services,1,0.75,0.75,in-833275ea7e5e5049,LLM,Database & Systems Administration,Moderate_Growth,0.5,0.33415923,0.1670796126127243,"CFMWS employees deliver programs and services including recreation, sports and fitness programs, customized financial services, retail services, access to retail savings and discounts and offers family support and organizes charity events.",know_772a53fd97e6,,,
Revit,2,0.8005,0.8005,in-dcfe1997ded20aef,BERT+LLM,Database & Systems Administration,Moderate_Growth,0.5,0.1150869,0.0575434491038322,"Qualifications & Requirements: Experience or exposure to CSA construction management, design coordination, or site execution. Understanding of construction drawings, specifications, and quality assurance related to civil, structural, and architectural works. Willingness to broaden expertise through ongoing learning about other engineering disciplines (MEP, process, etc.). Proficiency in the Microsoft Office suite (and familiarity with tools such as AutoCAD or Revit is advantageous). Strong oral ",know_0d90aa300c15,,,
Magentus products,1,0.75,0.75,in-421268cfcc9c960a,LLM,UX/UI & Digital Design,Moderate_Growth,0.55,0.20891577,0.1149036735296249,People are at the heart of everything we do at Magentus — we work as one team to create a healthier society. Short Summary Our Integration Specialists are responsible for ensuring that Magentus products work effectively once deployed into live environments.,know_fe538c81c592,,,
Alation,1,0.75,0.75,in-18f1331162449a3f,LLM,Database & Systems Administration,Moderate_Growth,0.5,0.09605808,0.048029039055109,"Purview, Alation, Collibra) Background in SaaS or scale -up environments with KPIs like Monthly Recurring Revenue (MRR), Churn Rate, Customer Acquisition Cost (CAC), and Customer Lifetime Value (CLTV) What we offer A competitive salary - let's discuss it Hybrid working Group Personal Pension - up to 12% employer contribution Generous annual bonus scheme between 6% and 24% 25 days annual leave plus bank holidays, and a holiday buy and sell scheme An array of health and wellbeing benefits, includi",know_2f55681e780f,,,
