skill,freq,mean_confidence,best_domain_id,best_future_domain,trend_label,trend_score,similarity,top1_similarity,top2_similarity,top3_similarity,mapping_margin,top2_domain_id,top3_domain_id,domain_source,future_weight
develop data engineering capability,1,0.641,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.46517897,0.46517897,0.30923092,0.30858177,0.15594804,ONET03,ONET01,WEF_FutureOfJobs_2023,0.41866106986999513
integrate ML models into real-world applications,1,1.0,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.41862518,0.41862518,0.23158191,0.2194509,0.18704326,WEF02,MCK01,WEF_FutureOfJobs_2023,0.4186251759529114
collaborate with others,5,0.6526,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.44011763,0.44011763,0.4056704,0.15323623,0.034447223,MCK02,ONET03,WEF_FutureOfJobs_2023,0.4181117460131645
push boundaries of data science,1,0.563,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.46221313,0.46221313,0.30350387,0.28163812,0.15870926,ONET02,1-Dec,WEF_FutureOfJobs_2023,0.41599181592464446
push boundaries of artificial intelligence,1,0.571,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.4370403,0.4370403,0.42437044,0.22604048,0.012669861,WEF01,MCK01,WEF_FutureOfJobs_2023,0.4151882842183113
analyze information security events,1,0.707,WEF03,Cybersecurity,Strong_Growth,0.9,0.46088874,0.46088874,0.2173384,0.19098371,0.24355035,ONET02,WEF02,WEF_FutureOfJobs_2023,0.41479986906051636
work on national security programs,1,0.736,WEF03,Cybersecurity,Strong_Growth,0.9,0.4583151,0.4583151,0.23775043,0.23097593,0.22056468,1-Dec,ONET02,WEF_FutureOfJobs_2023,0.4124835938215256
grow data engineering capability,1,0.638,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.45661917,0.45661917,0.27947918,0.2641824,0.17714,WEF04,WEF01,WEF_FutureOfJobs_2023,0.4109572559595108
leveraging AI tools,1,0.513,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.41055745,0.41055745,0.40824094,0.21714269,0.0023165047,WEF07,MCK01,WEF_FutureOfJobs_2023,0.41055744886398315
deploy infrastructure in code,1,1.0,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.4821557,0.4821557,0.3567595,0.29656842,0.12539622,3-Dec,2-Dec,WEF_FutureOfJobs_2023,0.40983235388994216
complete mandatory security trainings,1,0.691,WEF03,Cybersecurity,Strong_Growth,0.9,0.45308578,0.45308578,0.31869715,0.20789555,0.13438863,1-Dec,MCK01,WEF_FutureOfJobs_2023,0.407777202129364
implement security projects,1,0.679,WEF03,Cybersecurity,Strong_Growth,0.9,0.45172703,0.45172703,0.26759124,0.24271321,0.1841358,WEF04,MCK02,WEF_FutureOfJobs_2023,0.4065543293952942
lead AI strategy,1,0.68,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.42792386,0.42792386,0.33741027,0.21949928,0.09051359,WEF01,MCK01,WEF_FutureOfJobs_2023,0.4065276652574539
collaborate with data scientists,1,0.666,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.45103744,0.45103744,0.37370697,0.36119804,0.07733047,WEF07,MCK02,WEF_FutureOfJobs_2023,0.4059336930513382
deploy cloud services continuously,1,0.677,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.47636157,0.47636157,0.21172206,0.17412107,0.2646395,3-Dec,WEF06,WEF_FutureOfJobs_2023,0.4049073368310928
collaborate closely with,1,0.533,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.42393142,0.42393142,0.42303377,0.15721603,0.00089764595,MCK02,ONET03,WEF_FutureOfJobs_2023,0.40273484885692595
industrialize analysis into analytics solution,1,0.971,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.44723687,0.44723687,0.27351382,0.2672968,0.17372304,MCK01,WEF01,WEF_FutureOfJobs_2023,0.4025131791830063
advocate for information security needs,1,0.61,WEF03,Cybersecurity,Strong_Growth,0.9,0.44502372,0.44502372,0.22644854,0.21711342,0.21857518,ONET02,ONET03,WEF_FutureOfJobs_2023,0.40052134394645694
ensure AI systems follow best practices for observability,1,0.729,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.42072132,0.42072132,0.29797024,0.19594571,0.12275109,WEF01,MCK01,WEF_FutureOfJobs_2023,0.39968525618314743
execute GEN AI/AI strategy,1,0.631,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.41963962,0.41963962,0.3235434,0.22972724,0.09609622,WEF01,MCK01,WEF_FutureOfJobs_2023,0.3986576363444328
work autonomously,3,0.7759999999999999,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.4195556,0.4195556,0.3866373,0.27254725,0.032918304,MCK01,1-Dec,WEF_FutureOfJobs_2023,0.39857782423496246
develop complex data integrations solutions,1,1.0,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.43950185,0.43950185,0.36605483,0.3424075,0.07344702,ONET02,1-Dec,WEF_FutureOfJobs_2023,0.3955516666173935
manage cloud database platforms,1,0.712,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.46461973,0.46461973,0.45328888,0.25363004,0.011330843,ONET02,WEF05,WEF_FutureOfJobs_2023,0.39492676705121993
apply DevOps principles,1,0.773,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.46320102,0.46320102,0.36238176,0.31253693,0.10081926,3-Dec,ONET01,WEF_FutureOfJobs_2023,0.39372086375951765
support development of analytics platforms,1,0.642,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.43568715,0.43568715,0.400755,0.2957481,0.034932166,ONET02,WEF04,WEF_FutureOfJobs_2023,0.392118439078331
manage analytics,1,0.676,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.4348527,0.4348527,0.4099964,0.19276135,0.0248563,ONET02,1-Dec,WEF_FutureOfJobs_2023,0.39136742055416107
collaborate with teammates,1,0.63,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.4115821,0.4115821,0.38562703,0.14094207,0.025955081,MCK02,WEF04,WEF_FutureOfJobs_2023,0.391003006696701
implement cloud database platforms,1,0.747,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.45938814,0.45938814,0.42013445,0.2778442,0.039253682,ONET02,WEF05,WEF_FutureOfJobs_2023,0.3904799163341522
implement Data Engineering,1,0.598,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.43279034,0.43279034,0.34027505,0.27653068,0.09251529,1-Dec,ONET03,WEF_FutureOfJobs_2023,0.38951130509376525
-initiative,1,0.493,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.40862352,0.40862352,0.20083307,0.15614338,0.20779045,MCK01,3-Dec,WEF_FutureOfJobs_2023,0.3881923407316208
analytic questions related to large datasets into technical requirements,1,0.522,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.4313192,0.4313192,0.33830172,0.318601,0.09301749,1-Dec,WEF01,WEF_FutureOfJobs_2023,0.38818728625774385
support cloud database platforms,1,0.745,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.4556323,0.4556323,0.4336789,0.26651654,0.021953404,ONET02,WEF05,WEF_FutureOfJobs_2023,0.3872874543070793
leverage Cloud middleware,1,0.603,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.4547304,0.4547304,0.29552612,0.19989696,0.15920427,ONET02,WEF05,WEF_FutureOfJobs_2023,0.3865208327770233
collaborate closely,2,0.645,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.40598884,0.40598884,0.39655933,0.1480348,0.009429514,MCK02,3-Dec,WEF_FutureOfJobs_2023,0.3856894001364708
communicate potential cyber threats,1,0.869,WEF03,Cybersecurity,Strong_Growth,0.9,0.42808592,0.42808592,0.29517537,0.2254204,0.13291055,MCK02,WEF07,WEF_FutureOfJobs_2023,0.38527733087539673
assess the cybersecurity risk of a client,1,0.656,WEF03,Cybersecurity,Strong_Growth,0.9,0.42517444,0.42517444,0.16642144,0.16026446,0.258753,MCK02,WEF05,WEF_FutureOfJobs_2023,0.38265700042247774
security,1,0.569,WEF03,Cybersecurity,Strong_Growth,0.9,0.42483717,0.42483717,0.2584776,0.18610117,0.16635957,ONET02,WEF07,WEF_FutureOfJobs_2023,0.38235345482826233
work with self-initiative,1,0.625,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.40109476,0.40109476,0.20142522,0.1873031,0.19966954,MCK02,1-Dec,WEF_FutureOfJobs_2023,0.38104002624750133
meet security requirements,1,0.651,WEF03,Cybersecurity,Strong_Growth,0.9,0.41936857,0.41936857,0.23988798,0.21254097,0.17948058,ONET02,1-Dec,WEF_FutureOfJobs_2023,0.37743170857429503
collaborate openly,1,0.688,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.39696047,0.39696047,0.36190042,0.12955129,0.035060048,MCK02,WEF04,WEF_FutureOfJobs_2023,0.37711244374513625
use Kubernetes,2,0.7084999999999999,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.4416915,0.4416915,0.2274347,0.15352292,0.2142568,ONET02,WEF06,WEF_FutureOfJobs_2023,0.3754377648234367
implement enterprise security solutions,1,0.761,WEF03,Cybersecurity,Strong_Growth,0.9,0.4158456,0.4158456,0.29264337,0.28766736,0.123202235,ONET02,WEF04,WEF_FutureOfJobs_2023,0.3742610424757004
build AWS cloud security capabilities in code,1,1.0,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.43943864,0.43943864,0.23010148,0.19409145,0.20933716,WEF03,MCK01,WEF_FutureOfJobs_2023,0.37352284491062165
develop training solutions,1,0.678,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.37301892,0.37301892,0.30840883,0.30031967,0.064610094,MCK02,WEF07,WEF_FutureOfJobs_2023,0.37301892042160034
harness Generative AI,1,0.566,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.3721376,0.3721376,0.36544287,0.1507233,0.006694734,WEF07,MCK01,WEF_FutureOfJobs_2023,0.3721376061439514
report on information security,1,0.702,WEF03,Cybersecurity,Strong_Growth,0.9,0.4131423,0.4131423,0.23247,0.22463185,0.18067229,ONET03,ONET02,WEF_FutureOfJobs_2023,0.3718280643224716
perform effective cyber risk management,1,0.75,WEF03,Cybersecurity,Strong_Growth,0.9,0.41121083,0.41121083,0.20212615,0.18484892,0.20908469,MCK02,MCK01,WEF_FutureOfJobs_2023,0.3700897514820099
collaborate with Architects,2,0.762,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.38814905,0.38814905,0.35822335,0.30531946,0.029925704,MCK02,ONET03,WEF_FutureOfJobs_2023,0.368741600215435
design data pipelines,1,1.0,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.4076647,0.4076647,0.29114798,0.28847843,0.11651671,WEF04,MCK01,WEF_FutureOfJobs_2023,0.3668982177972794
fine-tune generative AI capabilities,1,0.642,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.38593316,0.38593316,0.36420903,0.14556408,0.021724135,WEF01,MCK01,WEF_FutureOfJobs_2023,0.3666365027427673
build DevOps workflows,1,0.695,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.43000057,0.43000057,0.38150278,0.33243167,0.048497796,3-Dec,MCK01,WEF_FutureOfJobs_2023,0.36550048738718033
design complex data integrations solutions,1,1.0,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.40551415,0.40551415,0.33535916,0.3282897,0.070154995,ONET02,ONET03,WEF_FutureOfJobs_2023,0.3649627357721329
Work on high -impact national security programs,1,0.593,WEF03,Cybersecurity,Strong_Growth,0.9,0.40237567,0.40237567,0.17592292,0.17125915,0.22645275,MCK02,WEF04,WEF_FutureOfJobs_2023,0.3621381014585495
implement data warehouse solution,1,1.0,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.40211064,0.40211064,0.33942935,0.3315502,0.06268129,ONET02,1-Dec,WEF_FutureOfJobs_2023,0.3618995726108551
develop on Container platforms,1,0.711,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.42473462,0.42473462,0.3326319,0.25434613,0.092102736,2-Dec,ONET03,WEF_FutureOfJobs_2023,0.36102442890405656
implement data pipelines,1,1.0,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.39808837,0.39808837,0.29327777,0.2922385,0.104810596,1-Dec,MCK01,WEF_FutureOfJobs_2023,0.3582795292139053
lead security initiatives,1,0.896,WEF03,Cybersecurity,Strong_Growth,0.9,0.39667475,0.39667475,0.27386975,0.24950059,0.122805,WEF07,MCK02,WEF_FutureOfJobs_2023,0.35700727701187135
build data pipelines,1,0.959,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.39598268,0.39598268,0.30070522,0.26935703,0.09527746,WEF04,MCK01,WEF_FutureOfJobs_2023,0.356384414434433
design UX,1,0.661,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.6467098,0.6467098,0.37312558,0.29249322,0.27358422,2-Dec,ONET04,ONET_BrightOutlook_2024,0.35569038987159735
coordination,1,0.49,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.3723126,0.3723126,0.29524273,0.20027776,0.07706988,MCK02,MCK01,WEF_FutureOfJobs_2023,0.35369697511196135
alert on information security threats,1,0.592,WEF03,Cybersecurity,Strong_Growth,0.9,0.39260542,0.39260542,0.12031356,0.11940936,0.27229187,WEF07,WEF02,WEF_FutureOfJobs_2023,0.35334488153457644
enhance data pipelines,1,1.0,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.38958156,0.38958156,0.2716837,0.26490662,0.11789787,1-Dec,MCK01,WEF_FutureOfJobs_2023,0.35062340497970584
collaborate with Quality Assurance,1,0.833,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.36822292,0.36822292,0.3135055,0.19941665,0.05471742,MCK02,ONET02,WEF_FutureOfJobs_2023,0.3498117759823799
ensure AI systems follow best practices for testing,1,0.844,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.3678679,0.3678679,0.23066999,0.22653402,0.1371979,WEF01,3-Dec,WEF_FutureOfJobs_2023,0.3494744926691055
work autonomously with little supervision.Organized,1,0.518,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.36616325,0.36616325,0.35038957,0.3321673,0.015773684,MCK02,MCK01,WEF_FutureOfJobs_2023,0.3478550910949707
innovate IT infrastructure,1,0.678,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.4082738,0.4082738,0.3248316,0.30856046,0.08344218,WEF05,MCK02,WEF_FutureOfJobs_2023,0.34703271836042404
develop software using scrum,1,0.719,ONET01,Software Development & Engineering,Moderate_Growth,0.65,0.5275399,0.5275399,0.3328492,0.26325122,0.1946907,MCK02,3-Dec,ONET_BrightOutlook_2024,0.3429009407758713
develop games,1,0.67,ONET04,Game Development & Interactive Media,Moderate_Growth,0.6,0.56982255,0.56982255,0.34025225,0.33592182,0.2295703,ONET01,ONET03,ONET_BrightOutlook_2024,0.34189352989196775
deliver infrastructure projects,1,1.0,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.40220392,0.40220392,0.3066111,0.23631144,0.09559283,MCK02,WEF06,WEF_FutureOfJobs_2023,0.3418733298778534
develop Agile software,1,0.702,ONET01,Software Development & Engineering,Moderate_Growth,0.65,0.52395946,0.52395946,0.30820405,0.30616394,0.2157554,MCK02,3-Dec,ONET_BrightOutlook_2024,0.3405736476182938
champion DevOps practices,1,0.916,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.39974716,0.39974716,0.35344172,0.27881095,0.046305448,3-Dec,ONET01,WEF_FutureOfJobs_2023,0.3397850885987282
