gold_id,item_text,item_type,pipeline_domain,pipeline_similarity,notes,true_domain_id,labeler_id
gfs_ba85fbe4aef1,data protection settings.,skill,Cybersecurity,0.24,,WEF03,labeler1
gfs_6970c216375e,implement cyber defence capabilities,skill,Cybersecurity,0.426,,WEF03,labeler1
gfs_edfc48c90fa5,protect critical assets,skill,Critical Thinking & Problem Solving,0.295,,WEF03,labeler1
gfs_ae39f499862a,optimize cloud security posture,skill,Cloud Computing & Infrastructure,0.39,,WEF04,labeler1
gfk_1f2449cd5892,People & Culture.,knowledge,Leadership & People Development,0.329,,unclear,labeler1
gfk_aad66c742e7a,AI/ML concepts,knowledge,AI & Machine Learning,0.561,,WEF01,labeler1
gfk_a092a48a2b53,document management,knowledge,Database & Systems Administration,0.362,,ONET02,labeler1
gfk_04d603fdb524,digital skills,knowledge,Technological Literacy & Digital Fluency,0.565,,WEF08,labeler1
gfk_349456453259,AI-assisted development,knowledge,Human-AI Collaboration,0.588,,WEF07,labeler1
gfk_955a96e4d534,yardage prints,knowledge,Routine Maintenance Coding,0.092,,none,labeler1
gfk_dbcf26743654,electricity sector,knowledge,Environmental & Sustainability Technology,0.318,,WEF06,labeler1
gfk_fa673aeb42e7,Operational Resilience,knowledge,Resilience & Adaptability,0.579,,MCK05,labeler1
gfk_f6545d6efe0f,industry standard scoring models,knowledge,Business Analysis & Requirements Engineering,0.35,,ESCO02,labeler1
gfk_53c43b20fbcc,healthcare facilities,knowledge,Cloud Computing & Infrastructure,0.247,,none,labeler1
gfk_08e044042037,RxJS,knowledge,UX/UI & Digital Design,0.221,,ONET01,labeler1
gfk_7738275c8d56,data measures,knowledge,Big Data & Analytics,0.33,,WEF02,labeler1
gfk_d734ff90431e,population health forecasting.,knowledge,Resilience & Adaptability,0.15,,WEF06,labeler1
gfk_c37dcd8f5352,optical simulation tools,knowledge,Game Development & Interactive Media,0.225,,ONET04,labeler1
gfk_ef32eaef0d34,natural language,knowledge,AI & Machine Learning,0.311,,WEF01,labeler1
gfk_4950fc4672f5,competitive analysis,knowledge,Business Analysis & Requirements Engineering,0.369,,ESCO02,labeler1
gfk_74e82e08ba90,institutional technological infrastructure,knowledge,Cloud Computing & Infrastructure,0.287,,none,labeler1
gfk_f1b828827256,M:N;,knowledge,Project Management & Agile Methodologies,0.13,,none,labeler1
gfk_e9de0465d618,pharmacy software application modules,knowledge,Routine Data Entry & Clerical,0.252,,DEC01,labeler1
gfk_9149453cf106,thermal network integrated energy systems,knowledge,Environmental & Sustainability Technology,0.203,,WEF06,labeler1
gfk_ee1dde1e7189,Arcade,knowledge,Game Development & Interactive Media,0.29,,ONET04,labeler1
gfk_1cd288db3ab9,digital operating system,knowledge,Blockchain & Distributed Systems,0.301,,none,labeler1
gfk_22651e403dd6,backend APIs,knowledge,Database & Systems Administration,0.294,,ONET02,labeler1
gfk_59c61fed6405,Ververica's Unified Streaming Data Platform,knowledge,Big Data & Analytics,0.277,,WEF02,labeler1
gfk_1a1e15328d6d,enterprise-grade revenue platform,knowledge,Digital Platforms & E-commerce,0.39,,WEF05,labeler1
gfk_27b561ff856f,stablecoins,knowledge,Blockchain & Distributed Systems,0.263,,ONET06,labeler1
gfk_a4b63eb2d812,Life Science Cloud,knowledge,Cloud Computing & Infrastructure,0.418,,WEF04,labeler1
gfk_de57cdef5460,Geospatial Research Laboratory,knowledge,Database & Systems Administration,0.23,,none,labeler1
gfk_8eaa31447602,TRAD product configuration,knowledge,Business Analysis & Requirements Engineering,0.143,,unclear,labeler1
gfk_a340cce18243,data security,knowledge,Cybersecurity,0.302,,WEF03,labeler1
gfk_94124276d46b,HCR,knowledge,Human-AI Collaboration,0.143,,none,labeler1
gfk_0ae72370300b,video abstracts,knowledge,Game Development & Interactive Media,0.174,,ONET04,labeler1
gfk_e77a2eefc283,Agile/Scrum methodologies,knowledge,Project Management & Agile Methodologies,0.664,,ESCO01,labeler1
gfk_2f4df6949170,content delivery systems,knowledge,Digital Platforms & E-commerce,0.326,,WEF05,labeler1
gfk_02de25420938,investigations,knowledge,Critical Thinking & Problem Solving,0.222,,none,labeler1
gfk_dfb925c2683b,security defence,knowledge,Cybersecurity,0.389,,unclear,labeler1
gfk_a47e4abb76fa,"invoice creation and cancellation,",knowledge,Process Automation & RPA,0.151,,DEC01,labeler1
gfk_e92f4f74298f,Flexible time-off policies,knowledge,Routine Maintenance Coding,0.204,,none,labeler1
gfk_d05f35533eb4,call transcripts,knowledge,Routine Data Entry & Clerical,0.29,,DEC01,labeler1
gfk_aba3d4b49c45,REST API,knowledge,Software Development & Engineering,0.181,,ONET01,labeler1
gfk_607a0676c0fe,enrichment facility,knowledge,Advanced Communication & Collaboration,0.151,,none,labeler1
gfk_822a76e71bbd,CompTIA Linux+,knowledge,Legacy Web Development,0.249,,unclear,labeler1
gfk_e96d54679738,talent management,knowledge,Leadership & People Development,0.464,,MCK03,labeler1
gfk_24ea74fcea33,foam,knowledge,AI & Machine Learning,0.144,,none,labeler1
gfk_50fa40b893bd,system definition,knowledge,Blockchain & Distributed Systems,0.309,,none,labeler1
gfk_a2865608037e,development test tool,knowledge,Quality Assurance & Testing,0.474,,ONET05,labeler1
gfk_e03fb8b9118b,CitectSCADA,knowledge,Database & Systems Administration,0.167,,unclear,labeler1
gfk_c6340992cd37,"database and log querying,",knowledge,Database & Systems Administration,0.323,,ONET02,labeler1
gfk_202281e8d582,"problems,",knowledge,Critical Thinking & Problem Solving,0.283,,none,labeler1
gfk_7ddeddde1b0d,problem-solving skills,knowledge,Critical Thinking & Problem Solving,0.509,,MCK04,labeler1
